station_code,year,scenario_type,total_irrigation,total_n,irrigation_event_count,n_event_count,swfac_stress_days_gt_0p05,nstres_days_gt_0p05,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,first_irrigation_dap,first_n_dap,peak_swfac_dap,peak_nstres_dap,final_grnwt,final_topwt,profit_simple,decision_reasonableness_label,notes
FQA,2007,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,8,6,0,0,True,True,1,1,1,5,7078.95263671875,13001.068115234377,-7.710473632812494,cap_saturated,
FQA,2008,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,8,6,0,0,True,True,1,1,1,6,7234.488525390625,12876.292724609377,-6.155114746093744,cap_saturated,
FQA,2016,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,8,6,0,0,True,True,1,1,1,5,7358.621826171875,13380.64453125,-4.913781738281244,cap_saturated,
FQA,2020,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,6,7990.3179931640625,13846.01806640625,1.4031799316406222,cap_saturated,
FQA,2023,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,5,8224.324340820312,15156.759033203123,3.743243408203128,cap_saturated,
FQA,2005,wet_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,5,7339.745483398437,13150.26123046875,-5.1025451660156165,cap_saturated,
FQA,2011,wet_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,6,5627.327880859375,11107.0703125,-22.22672119140625,cap_saturated,
FQA,2015,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,6,6931.538696289063,12318.839111328123,-9.184613037109372,cap_saturated,
FQA,2019,dry_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,11,7603.850708007812,14116.190185546877,-2.4614929199218665,cap_saturated,
HLA,2004,dry_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,9,6,33,0,True,True,1,1,132,15,6024.10888671875,16486.19384765625,-18.2589111328125,cap_saturated,
HLA,2020,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,20,True,True,1,1,1,136,6866.948852539063,16591.72119140625,-9.830511474609366,cap_saturated,
HLA,2021,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,0,True,True,1,1,1,14,5059.63623046875,13995.88134765625,-27.903637695312497,cap_saturated,
HLA,2022,normal_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,5,True,True,1,1,1,135,7107.60498046875,17494.55322265625,-7.4239501953125,cap_saturated,
HLA,2023,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,0,True,True,1,1,1,14,6077.9376220703125,16521.192626953125,-17.720623779296872,cap_saturated,
HLA,2012,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,0,True,True,1,1,1,15,0.0,1474.6778869628906,-78.5,cap_saturated,
HLA,2013,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,0,True,True,1,1,1,12,5172.479248046875,13653.883056640623,-26.77520751953125,cap_saturated,
HLA,2015,dry_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,21,True,True,1,1,1,156,6969.3353271484375,17900.38818359375,-8.806646728515616,cap_saturated,
HLA,2018,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,12,True,True,1,1,1,128,6115.9259033203125,15486.375732421877,-17.340740966796872,cap_saturated,
LCA,2017,dry_year;water_stress_year;nitrogen_stress_year,160.0,250.0,9,6,0,0,True,True,1,1,1,5,9008.58154296875,17173.4814453125,11.5858154296875,cap_saturated,
LCA,2020,normal_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,0,True,True,1,1,1,6,7666.160278320312,16590.3369140625,-1.8383972167968776,cap_saturated,
LCA,2021,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,0,True,True,1,1,1,5,10986.47216796875,19569.82788085937,31.364721679687506,cap_saturated,
