station_code,year,scenario_type,total_irrigation,total_n,irrigation_event_count,n_event_count,swfac_stress_days_gt_0p05,nstres_days_gt_0p05,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,first_irrigation_dap,first_n_dap,peak_swfac_dap,peak_nstres_dap,final_grnwt,final_topwt,profit_simple,decision_reasonableness_label,notes
FQA,2007,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,8,6,0,0,True,True,1,1,1,5,7078.9971923828125,13001.23046875,-102.21002807617187,cap_saturated,
FQA,2008,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,8,6,0,0,True,True,1,1,1,6,7234.481201171875,12876.28173828125,-100.65518798828124,cap_saturated,
FQA,2016,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,8,6,0,0,True,True,1,1,1,5,7358.5552978515625,13380.540771484375,-99.41444702148438,cap_saturated,
FQA,2020,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,6,7990.3204345703125,13846.04736328125,-93.09679565429687,cap_saturated,
FQA,2023,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,5,8224.329223632812,15156.7822265625,-90.75670776367187,cap_saturated,
FQA,2005,wet_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,5,7339.5404052734375,13149.859619140625,-99.60459594726562,cap_saturated,
FQA,2011,wet_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,6,5627.34130859375,11107.0751953125,-116.7265869140625,cap_saturated,
FQA,2015,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,6,6931.539306640625,12318.846435546875,-103.68460693359374,cap_saturated,
FQA,2019,dry_year;water_stress_year;nitrogen_stress_year,160.0,250.0,8,6,0,0,True,True,1,1,1,11,7603.8507080078125,14116.1767578125,-96.96149291992187,cap_saturated,
HLA,2004,dry_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,9,6,32,0,True,True,1,1,133,15,6016.0406494140625,16478.11767578125,-112.83959350585937,cap_saturated,
HLA,2020,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,20,True,True,1,1,1,136,6866.981201171875,16580.42236328125,-104.33018798828125,cap_saturated,
HLA,2021,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,9,6,0,0,True,True,1,1,1,14,5059.5977783203125,13995.201416015625,-122.40402221679688,cap_saturated,
