scenario,station_code,year,split,water_cost,nitrogen_cost,season_irrigation_cap,season_n_cap,total_irrigation,total_n,final_topwt,final_grnwt,mean_swfac,max_swfac,swfac_stress_days_gt_0p05,mean_nstres,max_nstres,nstres_days_gt_0p05,profit_simple,irrigation_event_count,n_event_count,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,decision_reasonableness_label,run_status,daily_csv_path
C_cap_low,FQA,2007,train,0.1,0.25,100.0,180.0,100.0,180.0,13178.97216796875,7137.5616455078125,0.0,0.0,0,0.001088062547287851,0.025144457817077637,0,16.37561645507813,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/FQA/2007_ppo_daily.csv
C_cap_low,FQA,2008,train,0.1,0.25,100.0,180.0,100.0,180.0,12474.481201171875,7084.771728515625,0.026335621447790235,0.32988858222961426,12,0.008509290786016555,0.17691278457641602,6,15.84771728515625,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/FQA/2008_ppo_daily.csv
C_cap_low,FQA,2016,train,0.1,0.25,100.0,180.0,100.0,180.0,12627.61962890625,6556.45751953125,0.030885485362033456,0.45570456981658936,12,0.009546819390082846,0.17724108695983887,6,10.5645751953125,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/FQA/2016_ppo_daily.csv
C_cap_low,FQA,2020,train,0.1,0.25,100.0,180.0,100.0,180.0,13826.0546875,7967.039794921875,0.0,0.0,0,0.006077302189973684,0.12227010726928711,5,24.670397949218753,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/FQA/2020_ppo_daily.csv
C_cap_low,FQA,2023,train,0.1,0.25,100.0,180.0,100.0,180.0,14357.244873046875,7652.2015380859375,0.015107287714878717,0.42206871509552,5,0.000145041694243749,0.012191057205200195,0,21.522015380859372,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/FQA/2023_ppo_daily.csv
C_cap_low,FQA,2005,eval,0.1,0.25,100.0,180.0,100.0,180.0,13329.93896484375,7428.5345458984375,0.0,0.0,0,0.00012070353668515045,0.012191057205200195,0,19.28534545898438,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/FQA/2005_ppo_daily.csv
C_cap_low,FQA,2011,eval,0.1,0.25,100.0,180.0,100.0,180.0,10858.697509765625,5567.3114013671875,0.0019156450575048274,0.16690218448638916,1,0.00011082779277454724,0.012191057205200195,0,0.6731140136718778,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/FQA/2011_ppo_daily.csv
C_cap_low,FQA,2015,eval,0.1,0.25,100.0,180.0,100.0,180.0,12357.928466796875,6952.5469970703125,0.0,0.0,0,0.00011835977869126403,0.012191057205200195,0,14.525469970703128,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/FQA/2015_ppo_daily.csv
C_cap_low,FQA,2019,eval,0.1,0.25,100.0,180.0,100.0,180.0,12037.28515625,6169.6148681640625,0.054389457363601124,0.5402729511260986,17,0.0018048439550837245,0.047147393226623535,0,6.696148681640629,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/FQA/2019_ppo_daily.csv
C_cap_low,HLA,2004,train,0.1,0.25,100.0,180.0,100.0,180.0,15418.345947265625,5719.55810546875,0.15357524988906723,1.0,33,0.03767794847488403,0.18418645858764648,42,2.1955810546875014,6,4,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/HLA/2004_ppo_daily.csv
C_cap_low,HLA,2020,train,0.1,0.25,100.0,180.0,100.0,180.0,15357.9345703125,6534.488525390625,0.0,0.0,0,0.09402682079749854,0.6303253173828125,53,10.344885253906256,6,4,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/HLA/2020_ppo_daily.csv
