station_code,year,scenario_type,total_irrigation,total_n,irrigation_event_count,n_event_count,swfac_stress_days_gt_0p05,nstres_days_gt_0p05,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,first_irrigation_dap,first_n_dap,peak_swfac_dap,peak_nstres_dap,final_grnwt,final_topwt,profit_simple,decision_reasonableness_label,notes
FQA,2007,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,5,5,0,0,True,True,1,1,1,99,7137.5616455078125,13178.97216796875,16.37561645507813,cap_saturated,
FQA,2008,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,5,5,12,6,True,True,1,1,97,98,7084.771728515625,12474.481201171875,15.84771728515625,cap_saturated,
FQA,2016,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,5,5,12,6,True,True,1,1,84,91,6556.45751953125,12627.61962890625,10.5645751953125,cap_saturated,
FQA,2020,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,0,5,True,True,1,1,1,96,7967.039794921875,13826.0546875,24.670397949218753,cap_saturated,
FQA,2023,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,5,0,True,True,1,1,74,5,7652.2015380859375,14357.244873046875,21.522015380859372,cap_saturated,
FQA,2005,wet_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,0,0,True,True,1,1,1,5,7428.5345458984375,13329.93896484375,19.28534545898438,cap_saturated,
FQA,2011,wet_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,1,0,True,True,1,1,47,6,5567.3114013671875,10858.697509765625,0.6731140136718778,cap_saturated,
FQA,2015,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,0,0,True,True,1,1,1,6,6952.5469970703125,12357.928466796875,14.525469970703128,cap_saturated,
FQA,2019,dry_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,17,0,True,True,1,1,89,102,6169.6148681640625,12037.28515625,6.696148681640629,cap_saturated,
HLA,2004,dry_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,6,4,33,42,True,True,1,1,115,159,5719.55810546875,15418.345947265625,2.1955810546875014,cap_saturated,
HLA,2020,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,53,True,True,1,1,1,136,6534.488525390625,15357.9345703125,10.344885253906256,cap_saturated,
HLA,2021,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,19,True,True,1,1,1,131,5058.9447021484375,13991.339111328125,-4.410552978515625,cap_saturated,
HLA,2022,normal_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,27,True,True,1,1,1,135,7110.4461669921875,17401.42822265625,16.104461669921875,cap_saturated,
HLA,2023,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,19,True,True,1,1,1,129,6078.2513427734375,16523.36181640625,5.782513427734379,cap_saturated,
HLA,2012,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,0,True,True,1,1,1,15,0.0,1479.8892211914062,-55.0,cap_saturated,
HLA,2013,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,4,0,14,True,True,1,1,1,126,5174.937744140625,13693.251953125,-3.250622558593747,cap_saturated,
HLA,2015,dry_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,71,True,True,1,1,1,156,6467.796630859375,16563.804931640625,9.677966308593753,cap_saturated,
HLA,2018,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,25,True,True,1,1,1,128,6115.946044921875,15357.26318359375,6.159460449218749,cap_saturated,
LCA,2017,dry_year;water_stress_year;nitrogen_stress_year,100.0,180.0,6,5,0,0,True,True,1,1,1,86,9037.380981445312,17273.511962890625,35.373809814453125,cap_saturated,
