scenario,station_code,year,split,water_cost,nitrogen_cost,season_irrigation_cap,season_n_cap,total_irrigation,total_n,final_topwt,final_grnwt,mean_swfac,max_swfac,swfac_stress_days_gt_0p05,mean_nstres,max_nstres,nstres_days_gt_0p05,profit_simple,irrigation_event_count,n_event_count,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,decision_reasonableness_label,run_status,daily_csv_path
D_cost_high_cap_low,FQA,2007,train,0.3,0.5,100.0,180.0,100.0,180.0,13178.97216796875,7137.5494384765625,0.0,0.0,0,0.0010961912712960872,0.02535688877105713,0,-48.62450561523437,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/FQA/2007_ppo_daily.csv
D_cost_high_cap_low,FQA,2008,train,0.3,0.5,100.0,180.0,100.0,180.0,12471.397705078125,7083.3343505859375,0.026373166697365898,0.3299441337585449,12,0.008504857903435116,0.1768333911895752,6,-49.166656494140625,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/FQA/2008_ppo_daily.csv
D_cost_high_cap_low,FQA,2016,train,0.3,0.5,100.0,180.0,100.0,180.0,12608.51318359375,6537.3651123046875,0.03148462456099841,0.4583096504211426,12,0.00937346414643891,0.1750788688659668,6,-54.62634887695313,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/FQA/2016_ppo_daily.csv
D_cost_high_cap_low,FQA,2020,train,0.3,0.5,100.0,180.0,100.0,180.0,13826.0400390625,7967.034912109375,0.0,0.0,0,0.006077601932562315,0.12227374315261841,5,-40.32965087890625,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/FQA/2020_ppo_daily.csv
D_cost_high_cap_low,FQA,2023,train,0.3,0.5,100.0,180.0,100.0,180.0,14356.112060546875,7651.9281005859375,0.01513751968741417,0.4220503568649292,5,0.000145041694243749,0.012191057205200195,0,-43.48071899414062,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/FQA/2023_ppo_daily.csv
D_cost_high_cap_low,FQA,2005,eval,0.3,0.5,100.0,180.0,100.0,180.0,13330.52978515625,7428.701171875,0.0,0.0,0,0.00012070353668515045,0.012191057205200195,0,-45.71298828124999,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/FQA/2005_ppo_daily.csv
D_cost_high_cap_low,FQA,2011,eval,0.3,0.5,100.0,180.0,100.0,180.0,10854.337158203125,5566.2469482421875,0.002032484249635176,0.17248553037643433,2,0.00011082779277454724,0.012191057205200195,0,-64.33753051757813,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/FQA/2011_ppo_daily.csv
D_cost_high_cap_low,FQA,2015,eval,0.3,0.5,100.0,180.0,100.0,180.0,12357.9443359375,6952.554931640625,0.0,0.0,0,0.00011835977869126403,0.012191057205200195,0,-50.474450683593744,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/FQA/2015_ppo_daily.csv
D_cost_high_cap_low,FQA,2019,eval,0.3,0.5,100.0,180.0,100.0,180.0,12035.006103515625,6168.6749267578125,0.05443767615414541,0.5403423309326172,17,0.0017998639596711605,0.04703235626220703,0,-58.31325073242187,5,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/FQA/2019_ppo_daily.csv
D_cost_high_cap_low,HLA,2004,train,0.3,0.5,100.0,180.0,100.0,180.0,15427.740478515625,5721.663818359375,0.15360458983906677,1.0,33,0.03771670511790684,0.18479299545288086,41,-62.78336181640625,6,4,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/HLA/2004_ppo_daily.csv
