station_code,year,scenario_type,total_irrigation,total_n,irrigation_event_count,n_event_count,swfac_stress_days_gt_0p05,nstres_days_gt_0p05,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,first_irrigation_dap,first_n_dap,peak_swfac_dap,peak_nstres_dap,final_grnwt,final_topwt,profit_simple,decision_reasonableness_label,notes
FQA,2007,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,5,5,0,0,True,True,1,1,1,99,7137.5494384765625,13178.97216796875,-48.62450561523437,cap_saturated,
FQA,2008,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,5,5,12,6,True,True,1,1,97,98,7083.3343505859375,12471.397705078125,-49.166656494140625,cap_saturated,
FQA,2016,normal_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,5,5,12,6,True,True,1,1,84,91,6537.3651123046875,12608.51318359375,-54.62634887695313,cap_saturated,
FQA,2020,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,0,5,True,True,1,1,1,96,7967.034912109375,13826.0400390625,-40.32965087890625,cap_saturated,
FQA,2023,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,5,0,True,True,1,1,74,5,7651.9281005859375,14356.112060546875,-43.48071899414062,cap_saturated,
FQA,2005,wet_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,0,0,True,True,1,1,1,5,7428.701171875,13330.52978515625,-45.71298828124999,cap_saturated,
FQA,2011,wet_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,2,0,True,True,1,1,47,6,5566.2469482421875,10854.337158203125,-64.33753051757813,cap_saturated,
FQA,2015,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,0,0,True,True,1,1,1,6,6952.554931640625,12357.9443359375,-50.474450683593744,cap_saturated,
FQA,2019,dry_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,17,0,True,True,1,1,89,102,6168.6749267578125,12035.006103515625,-58.31325073242187,cap_saturated,
HLA,2004,dry_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,6,4,33,41,True,True,1,1,115,159,5721.663818359375,15427.740478515625,-62.78336181640625,cap_saturated,
HLA,2020,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,53,True,True,1,1,1,136,6533.75244140625,15356.13525390625,-54.6624755859375,cap_saturated,
HLA,2021,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,19,True,True,1,1,1,131,5058.9447021484375,13991.2841796875,-69.41055297851562,cap_saturated,
HLA,2022,normal_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,27,True,True,1,1,1,135,7110.4461669921875,17401.357421875,-48.895538330078125,cap_saturated,
HLA,2023,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,19,True,True,1,1,1,129,6078.2513427734375,16523.358154296875,-59.21748657226562,cap_saturated,
HLA,2012,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,0,True,True,1,1,1,15,0.0,1479.8838806152344,-120.0,cap_saturated,
HLA,2013,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,4,0,14,True,True,1,1,1,126,5174.910888671875,13692.9150390625,-68.25089111328126,cap_saturated,
HLA,2015,dry_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,71,True,True,1,1,1,156,6467.271728515625,16562.3193359375,-55.32728271484375,cap_saturated,
HLA,2018,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,4,0,25,True,True,1,1,1,128,6115.9552001953125,15357.26318359375,-58.840447998046876,cap_saturated,
LCA,2017,dry_year;water_stress_year;nitrogen_stress_year,100.0,180.0,6,5,0,0,True,True,1,1,1,86,9037.393798828125,17273.553466796875,-29.626062011718744,cap_saturated,
LCA,2020,normal_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,5,0,0,True,True,1,1,1,85,7748.10546875,17039.7216796875,-42.518945312499994,cap_saturated,
LCA,2021,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,5,0,12,True,True,1,1,1,89,10687.698974609375,19456.507568359375,-13.123010253906244,cap_saturated,
LCA,2022,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,5,0,12,True,True,1,1,1,88,9762.35595703125,18910.753173828125,-22.37644042968749,cap_saturated,
LCA,2023,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,5,0,4,True,True,1,1,1,81,7909.62890625,17486.751708984375,-40.903710937499994,cap_saturated,
LCA,2006,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,5,0,0,True,True,1,1,1,91,9160.974731445312,16450.850830078125,-28.39025268554687,cap_saturated,
LCA,2008,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,5,1,15,True,True,1,1,18,95,10266.890869140625,18763.8623046875,-17.33109130859374,cap_saturated,
LCA,2009,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,5,0,0,True,True,1,1,1,6,9266.329956054688,17988.013916015625,-27.336700439453125,cap_saturated,
LCA,2013,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,6,5,0,7,True,True,1,1,18,89,8772.174682617188,16623.91845703125,-32.27825317382812,cap_saturated,
SYA,2009,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,9,23,True,True,1,1,133,135,10733.19091796875,18628.084716796875,-12.6680908203125,cap_saturated,
SYA,2014,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,5,5,10,23,True,True,1,1,136,136,9596.509399414062,17786.2939453125,-24.03490600585937,cap_saturated,
SYA,2017,dry_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,5,5,5,18,True,True,1,1,117,123,9560.438842773438,17353.167724609375,-24.395611572265622,cap_saturated,
