station_code,station_name,year,scenario_type,scenario_group,policy_name,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n,profit_default,profit_low_water_cost,mean_swfac,max_swfac,swfac_stress_days_gt_0p05,mean_nstres,max_nstres,nstres_days_gt_0p05,irrigation_event_count,n_event_count,yield_loss_vs_best_expert,profit_gap_vs_best_expert,daily_csv_path,notes
FQA,Fengqiu,2005,wet_year;water_stress_year;nitrogen_stress_year,water_stress,BC_random_forest_regressor_all_year,ok,True,101,7433.424072265625,13367.83935546875,1.0046615600585938,0.0,122.55808278397313,43.694720026662964,43.694720026662964,0.0,0.0,0,0.004540397389100325,0.1054160594940185,4,0,3,-1.7649666784078424,-16.869601008108276,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/FQA/FQA_2005_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
FQA,Fengqiu,2006,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,102,4813.503112792969,8194.791870117188,0.7490991950035095,0.0,44.17560923899957,37.0911288181798,37.0911288181798,0.0,0.0,0,0.0989085365744198,0.4543652534484863,54,0,2,0.2773385433628387,-7.983133212711053,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/FQA/FQA_2006_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
FQA,Fengqiu,2011,wet_year;water_stress_year;nitrogen_stress_year,water_stress,BC_random_forest_regressor_all_year,ok,True,110,3998.773193359375,7390.642700195312,0.7130610942840576,0.0,44.15477590566624,28.94903795717719,28.94903795717719,0.0,0.0,0,0.1010471631180156,0.4085100293159485,56,0,2,-0.8595772375999848,-7.822370171532661,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/FQA/FQA_2011_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
FQA,Fengqiu,2013,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,96,4750.204162597656,7979.1925048828125,0.691878080368042,0.0,44.86469654058687,36.28586749082985,36.28586749082985,0.0,0.0,0,0.1259908496091763,0.4265233874320984,48,0,2,0.35913309315581354,-0.6667879009861011,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/FQA/FQA_2013_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
FQA,Fengqiu,2019,dry_year;water_stress_year;nitrogen_stress_year,water_stress,BC_random_forest_regressor_all_year,ok,True,109,4440.693359375,8721.702270507812,0.6441410183906555,0.0,44.15477590566624,33.368239617333444,33.368239617333444,0.0,0.0,0,0.12389116221611651,0.5256560444831848,46,0,2,-0.6376671696287863,-8.292424797997505,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/FQA/FQA_2019_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
HLA,Hailun,2004,dry_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,irrigation_responsive,BC_random_forest_regressor_all_year,ok,True,121,763.004150390625,9411.886596679688,1.1208168268203735,0.0,175.9340166940351,-36.35346266960253,-36.35346266960253,0.12572075826816323,1.0,20,0.070856051011519,0.2337748408317566,45,0,3,-0.7848690561538226,40.53912322258105,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/HLA/HLA_2004_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
HLA,Hailun,2012,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,104,0.0,1539.9627685546875,0.0,0.0,137.19281345283184,-34.29820336320796,-34.29820336320796,0.0,0.0,0,0.0003889718881020154,0.0135592222213745,0,0,3,,34.29820336320796,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/HLA/HLA_2012_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
HLA,Hailun,2015,dry_year;nitrogen_stress_year;low_response_year,dry,BC_random_forest_regressor_all_year,ok,True,162,6536.072998046875,16798.6328125,0.045032225549221,0.0,163.29852833979677,24.536097895519553,24.536097895519553,0.0,0.0,0,0.09553019279315146,0.5438767671585083,66,0,3,0.06489800651559548,0.7539960986210694,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/HLA/HLA_2015_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
HLA,Hailun,2019,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,153,5329.596557617188,13603.46923828125,0.560534656047821,0.0,145.71466891218734,16.867298348125054,16.867298348125054,0.0,0.0,0,0.06855381781758824,0.5134531855583191,37,0,3,0.00588793210719485,-0.7818369223437998,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/HLA/HLA_2019_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
HLA,Hailun,2023,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,138,6028.3740234375,16394.75830078125,1.6255431175231934,0.0,156.90189534316374,21.058266398584067,21.058266398584067,0.0,0.0,0,0.055468549331029245,0.5400278568267822,26,0,3,0.008242216164479626,1.153299763525304,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/HLA/HLA_2023_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
LCA,Luancheng,2006,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,98,9225.636596679688,16737.291259765625,1.518895983695984,0.0,163.5043643824554,51.380274871183026,51.380274871183026,0.0,0.0,0,0.002765205441688999,0.0742931365966796,3,0,3,2.6463275225935173e-07,1.5400071112388574,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/LCA/LCA_2006_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
LCA,Luancheng,2008,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,103,10432.8369140625,18811.763916015625,1.7583359479904177,0.0,171.81091200150303,61.37564114024924,61.37564114024924,0.0,0.0,0,0.03337221064613859,0.3025361895561218,21,0,3,0.0430786904078116,2.491955295297629,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/LCA/LCA_2008_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
LCA,Luancheng,2017,dry_year;water_stress_year;nitrogen_stress_year,water_stress,BC_random_forest_regressor_all_year,ok,True,94,8924.998168945312,16844.02099609375,1.658700942993164,0.0,162.5144503612914,48.62136909913027,48.62136909913027,0.0028689433919622544,0.2696806788444519,1,0.012911449721518973,0.1433377861976623,11,0,3,-2.019097612393261,-19.47717964600527,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/LCA/LCA_2017_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
LCA,Luancheng,2022,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,95,10102.909545898438,19496.815185546875,1.8648929595947263,0.0,182.41494639303744,55.42535886072501,55.42535886072501,0.0,0.0,0,0.01529953166058188,0.1932823657989502,7,0,3,0.030011408316468154,5.184937770134368,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/LCA/LCA_2022_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
LCA,Luancheng,2023,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,88,7693.209228515625,16561.83349609375,1.774440050125122,0.0,172.88329956764062,33.7112673932461,33.7112673932461,0.0,0.0,0,0.018193931064822443,0.1877217888832092,11,0,3,0.028189140436996517,3.597210389957027,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/LCA/LCA_2023_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
SYA,Shenyang,2008,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,143,9039.403686523438,16107.2119140625,1.1616785526275637,0.0,117.31483175948838,61.06532892536229,61.06532892536229,0.0,0.0,0,0.07445543837714029,0.5249974727630615,27,0,3,0.18891322549043663,2.1998444144814755,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/SYA/SYA_2008_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
SYA,Shenyang,2017,dry_year;water_stress_year;nitrogen_stress_year;irrigation_responsive_year,irrigation_responsive,BC_random_forest_regressor_all_year,ok,True,130,8454.830932617188,15967.75390625,1.3025288581848145,0.0,154.39950588166252,45.948432855756245,45.948432855756245,0.047250747566039746,0.8172024488449097,13,0.060130693820806644,0.556723415851593,27,0,3,-2.2012390003877798,-23.00914452567812,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/SYA/SYA_2017_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
SYA,Shenyang,2019,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,140,8769.502563476562,16827.181396484375,1.5317379236221311,0.0,158.30270453486116,48.11934950105034,48.11934950105034,0.0,0.0,0,0.056946511779512675,0.5462911128997803,23,0,3,0.16148234858544036,1.556907823168416,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/SYA/SYA_2019_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
SYA,Shenyang,2022,wet_year;nitrogen_stress_year;low_response_year,wet,BC_random_forest_regressor_all_year,ok,True,142,7960.52978515625,14490.452880859377,0.915568232536316,0.0,94.86307911398572,55.88952807306607,55.88952807306607,0.0,0.0,0,0.10016283497843943,0.5773623287677765,34,0,2,0.26531948060960775,-0.10370653986293377,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/SYA/SYA_2022_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
YCA,Yucheng,2004,dry_year;nitrogen_stress_year;irrigation_responsive_year,irrigation_responsive,BC_random_forest_regressor_all_year,ok,True,115,1479.574737548828,3702.277221679688,0.2238498777151107,0.0,42.244251593316335,4.234684477159195,4.234684477159195,0.0,0.0,0,0.275271999835968,0.5377655029296875,74,0,1,0.13365827674267625,10.552058686903305,Leave_One_experiments/all_year_offline_schedule_search/daily_outputs/YCA/YCA_2004_BC_random_forest_regressor_all_year_daily.csv,action_safe_all_year_imitation_prior_eval
