station,policy_name,finetune_method,prior_policy,train_year,eval_year,seed,model_path,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,bc_action_deviation_mean,bc_action_deviation_max,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450,irrigation_saturation_ratio_guardrail,n_saturation_ratio_guardrail,daily_csv_path,figure_dir,notes,yield_loss_vs_prior,yield_loss_vs_expert,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline
HLA,FT0_BC_two_stage_replay_HLA_train2011_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2011,2011,0,,ok,True,169,3005.30029296875,0.0,80.0,0.0,0.20174189749554064,10.053002929687501,0.0020808678500986192,0.3516666666666667,0.0,0.17777777777777778,0.0,0.17777777777777778,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT0_BC_two_stage_replay_HLA_train2011_seed0_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT0_BC_two_stage_replay/eval_2011,constrained_ppo_eval,0.496741055828206,0.5277760807963088,0.5629208228928364,0.9111111111111111
HLA,FT0_BC_two_stage_replay_HLA_train2011_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2011,2007,0,,ok,True,149,2964.3707275390625,0.0,80.0,0.0,0.17864539839277332,9.643707275390625,0.002360178970917226,0.3516666666666667,0.0,0.17777777777777778,0.0,0.17777777777777778,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT0_BC_two_stage_replay_HLA_train2011_seed0_eval2007_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT0_BC_two_stage_replay/eval_2007,constrained_ppo_eval,0.5258852364694758,0.5640358930683428,0.5688734595791656,0.9111111111111111
HLA,FT0_BC_two_stage_replay_HLA_train2011_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2011,2009,0,,ok,True,159,3404.1400146484375,0.0,80.0,0.0,0.24528792931598686,14.041400146484378,0.002211740041928721,0.3516666666666667,0.0,0.17777777777777778,0.0,0.17777777777777778,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT0_BC_two_stage_replay_HLA_train2011_seed0_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT0_BC_two_stage_replay/eval_2009,constrained_ppo_eval,0.5216729627797488,0.5201803501633541,0.5049151261718596,0.9111111111111111
SYA,FT0_BC_two_stage_replay_SYA_train2012_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2012,2012,0,,ok,True,135,2693.1094360351562,0.0,0.0,0.0,0.18894308849617286,26.931094360351562,0.006839506172839506,0.9233333333333333,0.0,0.0,0.0,0.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT0_BC_two_stage_replay_SYA_train2012_seed0_eval2012_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT0_BC_two_stage_replay/eval_2012,constrained_ppo_eval,0.6900120057026561,0.7011080985220928,0.6083246459877069,1.0
SYA,FT0_BC_two_stage_replay_SYA_train2012_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2012,2014,0,,ok,True,144,2729.5013427734375,0.0,0.0,0.0,0.20650000621875128,27.295013427734375,0.006412037037037037,0.9233333333333333,0.0,0.0,0.0,0.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT0_BC_two_stage_replay_SYA_train2012_seed0_eval2014_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT0_BC_two_stage_replay/eval_2014,constrained_ppo_eval,0.6882929657117139,0.6926641966260799,0.6030319487195693,1.0
SYA,FT0_BC_two_stage_replay_SYA_train2012_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2012,2015,0,,ok,True,143,2669.547119140625,0.0,0.0,0.0,0.19679823663684873,26.695471191406252,0.006456876456876457,0.9233333333333333,0.0,0.0,0.0,0.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT0_BC_two_stage_replay_SYA_train2012_seed0_eval2015_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT0_BC_two_stage_replay/eval_2015,constrained_ppo_eval,0.6928732217075806,0.7058053287086772,0.6117514576454619,1.0
LCA,FT0_BC_two_stage_replay_LCA_train2010_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2010,2010,0,,ok,True,92,6127.1307373046875,0.0,80.0,0.0,0.08767272208047949,41.271307373046874,0.007282608695652174,0.625,0.0,0.17777777777777778,0.0,0.17777777777777778,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT0_BC_two_stage_replay_LCA_train2010_seed0_eval2010_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT0_BC_two_stage_replay/eval_2010,constrained_ppo_eval,0.23634052303954492,0.23491908138077616,0.10889395414004688,0.9111111111111111
LCA,FT0_BC_two_stage_replay_LCA_train2010_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2010,2011,0,,ok,True,102,6826.3934326171875,0.0,80.0,0.0,0.12751290143704883,48.26393432617188,0.006568627450980392,0.625,0.0,0.17777777777777778,0.0,0.17777777777777778,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT0_BC_two_stage_replay_LCA_train2010_seed0_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT0_BC_two_stage_replay/eval_2011,constrained_ppo_eval,0.25203681940585804,0.23382567661121903,0.007195909467443225,0.9111111111111111
LCA,FT0_BC_two_stage_replay_LCA_train2010_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2010,2008,0,,ok,True,105,7335.5181884765625,0.0,80.0,0.0,0.13685012317839124,53.35518188476563,0.006380952380952381,0.625,0.0,0.17777777777777778,0.0,0.17777777777777778,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT0_BC_two_stage_replay_LCA_train2010_seed0_eval2008_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT0_BC_two_stage_replay/eval_2008,constrained_ppo_eval,0.20661151296317556,0.2066106749680509,-0.06684921336322064,0.9111111111111111
LCA,FT0_BC_two_stage_replay_LCA_train2010_seed0,FT0_BC_two_stage_replay,BC_two_stage_classifier_regressor,2010,2009,0,,ok,True,102,6723.673095703125,0.0,80.0,0.0,0.11176953829971015,47.236730957031256,0.006568627450980392,0.625,0.0,0.17777777777777778,0.0,0.17777777777777778,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT0_BC_two_stage_replay_LCA_train2010_seed0_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT0_BC_two_stage_replay/eval_2009,constrained_ppo_eval,0.25667621007003355,0.2414951709641464,0.022135155450818202,0.9111111111111111
