station,train_year,finetune_method,policy_name,run_status,episode_completed,notes
HLA,2011,FT0_BC_two_stage_replay,null_zero,ok,True,pretrain_smoke_check
HLA,2011,FT0_BC_two_stage_replay,fixed_low_input,ok,True,pretrain_smoke_check
HLA,2011,FT0_BC_two_stage_replay,prior_replay,ok,True,pretrain_smoke_check
SYA,2012,FT0_BC_two_stage_replay,null_zero,ok,True,pretrain_smoke_check
SYA,2012,FT0_BC_two_stage_replay,fixed_low_input,ok,True,pretrain_smoke_check
SYA,2012,FT0_BC_two_stage_replay,prior_replay,ok,True,pretrain_smoke_check
LCA,2010,FT0_BC_two_stage_replay,null_zero,ok,True,pretrain_smoke_check
LCA,2010,FT0_BC_two_stage_replay,fixed_low_input,ok,True,pretrain_smoke_check
LCA,2010,FT0_BC_two_stage_replay,prior_replay,ok,True,pretrain_smoke_check
HLA,2011,FT1_bc_penalty_lambda_0p5,null_zero,ok,True,pretrain_smoke_check
HLA,2011,FT1_bc_penalty_lambda_0p5,fixed_low_input,ok,True,pretrain_smoke_check
HLA,2011,FT1_bc_penalty_lambda_0p5,prior_replay,ok,True,pretrain_smoke_check
SYA,2012,FT1_bc_penalty_lambda_0p5,null_zero,ok,True,pretrain_smoke_check
SYA,2012,FT1_bc_penalty_lambda_0p5,fixed_low_input,ok,True,pretrain_smoke_check
SYA,2012,FT1_bc_penalty_lambda_0p5,prior_replay,ok,True,pretrain_smoke_check
LCA,2010,FT1_bc_penalty_lambda_0p5,null_zero,ok,True,pretrain_smoke_check
LCA,2010,FT1_bc_penalty_lambda_0p5,fixed_low_input,ok,True,pretrain_smoke_check
LCA,2010,FT1_bc_penalty_lambda_0p5,prior_replay,ok,True,pretrain_smoke_check
HLA,2011,FT2_residual_bc_prior,null_zero,ok,True,pretrain_smoke_check
HLA,2011,FT2_residual_bc_prior,fixed_low_input,ok,True,pretrain_smoke_check
HLA,2011,FT2_residual_bc_prior,prior_replay,ok,True,pretrain_smoke_check
SYA,2012,FT2_residual_bc_prior,null_zero,ok,True,pretrain_smoke_check
SYA,2012,FT2_residual_bc_prior,fixed_low_input,ok,True,pretrain_smoke_check
SYA,2012,FT2_residual_bc_prior,prior_replay,ok,True,pretrain_smoke_check
LCA,2010,FT2_residual_bc_prior,null_zero,ok,True,pretrain_smoke_check
LCA,2010,FT2_residual_bc_prior,fixed_low_input,ok,True,pretrain_smoke_check
LCA,2010,FT2_residual_bc_prior,prior_replay,ok,True,pretrain_smoke_check
HLA,2011,FT3_budget_guardrail_100_200,null_zero,ok,True,pretrain_smoke_check
HLA,2011,FT3_budget_guardrail_100_200,fixed_low_input,ok,True,pretrain_smoke_check
HLA,2011,FT3_budget_guardrail_100_200,prior_replay,ok,True,pretrain_smoke_check
SYA,2012,FT3_budget_guardrail_100_200,null_zero,ok,True,pretrain_smoke_check
SYA,2012,FT3_budget_guardrail_100_200,fixed_low_input,ok,True,pretrain_smoke_check
SYA,2012,FT3_budget_guardrail_100_200,prior_replay,ok,True,pretrain_smoke_check
LCA,2010,FT3_budget_guardrail_100_200,null_zero,ok,True,pretrain_smoke_check
LCA,2010,FT3_budget_guardrail_100_200,fixed_low_input,ok,True,pretrain_smoke_check
LCA,2010,FT3_budget_guardrail_100_200,prior_replay,ok,True,pretrain_smoke_check
