station,method,seed,prior_policy,train_year,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,profit_score,mean_swfac,mean_nstres,bc_action_deviation_mean,bc_action_deviation_max,irrigation_saturation_ratio_100_200,n_saturation_ratio_100_200,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450,daily_csv_path,figure_dir,notes,model_path,augmented_rf_prior_yield,augmented_rf_prior_irrigation,augmented_rf_prior_n,augmented_rf_prior_profit,yield_loss_vs_augmented_rf_prior,yield_loss_vs_expert_best,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline,cap_regression_300_450,passes_low_input_gate
HLA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2011,2011,ok,True,169,5079.18701171875,0.0,69.03663277626038,33.532711923122406,0.0,0.2983836935469385,5.612914486473295e-11,9.485825482139869e-09,0.0,0.3451831638813019,0.0,0.15341473950280082,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/HLA_MS0_augmented_RF_prior_replay_seed0_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/HLA/MS0_augmented_RF_prior_replay/seed_0_eval_2011,simday_safety_action_table_or_constrained_ppo,,5079.18701171875,0.0,69.0366341991342,33.53271156740395,0.0,,0.26130281068770755,0.9079511562983195,False,False
HLA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2011,2007,ok,True,149,4912.1240234375,0.0,69.03663277626038,31.862082040309907,0.0,0.2504609013163803,6.366325826939509e-11,9.485825482139869e-09,0.0,0.3451831638813019,0.0,0.15341473950280082,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/HLA_MS0_augmented_RF_prior_replay_seed0_eval2007_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/HLA/MS0_augmented_RF_prior_replay/seed_0_eval_2007,simday_safety_action_table_or_constrained_ppo,,4912.1240234375,0.0,69.0366341991342,31.86208168459145,0.0,,0.2855998014456264,0.9079511562983195,False,False
HLA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2011,2009,ok,True,159,4787.138671875,0.0,69.03663277626038,30.61222852468491,0.0,0.30740575998459224,5.965927976188597e-11,9.485825482139869e-09,0.0,0.3451831638813019,0.0,0.15341473950280082,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/HLA_MS0_augmented_RF_prior_replay_seed0_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/HLA/MS0_augmented_RF_prior_replay/seed_0_eval_2009,simday_safety_action_table_or_constrained_ppo,,4787.138671875,0.0,69.0366341991342,30.612228168966453,0.0,,0.3037771844975619,0.9079511562983195,False,False
HLA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2011,2011,ok,True,169,5079.18701171875,0.0,69.03663277626038,33.532711923122406,0.0,0.2983836935469385,5.612914486473295e-11,9.485825482139869e-09,0.0,0.3451831638813019,0.0,0.15341473950280082,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/HLA_MS0_augmented_RF_prior_replay_seed1_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/HLA/MS0_augmented_RF_prior_replay/seed_1_eval_2011,simday_safety_action_table_or_constrained_ppo,,5079.18701171875,0.0,69.0366341991342,33.53271156740395,0.0,,0.26130281068770755,0.9079511562983195,False,False
HLA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2011,2007,ok,True,149,4912.1240234375,0.0,69.03663277626038,31.862082040309907,0.0,0.2504609013163803,6.366325826939509e-11,9.485825482139869e-09,0.0,0.3451831638813019,0.0,0.15341473950280082,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/HLA_MS0_augmented_RF_prior_replay_seed1_eval2007_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/HLA/MS0_augmented_RF_prior_replay/seed_1_eval_2007,simday_safety_action_table_or_constrained_ppo,,4912.1240234375,0.0,69.0366341991342,31.86208168459145,0.0,,0.2855998014456264,0.9079511562983195,False,False
HLA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2011,2009,ok,True,159,4787.138671875,0.0,69.03663277626038,30.61222852468491,0.0,0.30740575998459224,5.965927976188597e-11,9.485825482139869e-09,0.0,0.3451831638813019,0.0,0.15341473950280082,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/HLA_MS0_augmented_RF_prior_replay_seed1_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/HLA/MS0_augmented_RF_prior_replay/seed_1_eval_2009,simday_safety_action_table_or_constrained_ppo,,4787.138671875,0.0,69.0366341991342,30.612228168966453,0.0,,0.3037771844975619,0.9079511562983195,False,False
HLA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2011,2011,ok,True,169,5079.18701171875,0.0,69.03663277626038,33.532711923122406,0.0,0.2983836935469385,5.612914486473295e-11,9.485825482139869e-09,0.0,0.3451831638813019,0.0,0.15341473950280082,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/HLA_MS0_augmented_RF_prior_replay_seed2_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/HLA/MS0_augmented_RF_prior_replay/seed_2_eval_2011,simday_safety_action_table_or_constrained_ppo,,5079.18701171875,0.0,69.0366341991342,33.53271156740395,0.0,,0.26130281068770755,0.9079511562983195,False,False
HLA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2011,2007,ok,True,149,4912.1240234375,0.0,69.03663277626038,31.862082040309907,0.0,0.2504609013163803,6.366325826939509e-11,9.485825482139869e-09,0.0,0.3451831638813019,0.0,0.15341473950280082,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/HLA_MS0_augmented_RF_prior_replay_seed2_eval2007_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/HLA/MS0_augmented_RF_prior_replay/seed_2_eval_2007,simday_safety_action_table_or_constrained_ppo,,4912.1240234375,0.0,69.0366341991342,31.86208168459145,0.0,,0.2855998014456264,0.9079511562983195,False,False
HLA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2011,2009,ok,True,159,4787.138671875,0.0,69.03663277626038,30.61222852468491,0.0,0.30740575998459224,5.965927976188597e-11,9.485825482139869e-09,0.0,0.3451831638813019,0.0,0.15341473950280082,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/HLA_MS0_augmented_RF_prior_replay_seed2_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/HLA/MS0_augmented_RF_prior_replay/seed_2_eval_2009,simday_safety_action_table_or_constrained_ppo,,4787.138671875,0.0,69.0366341991342,30.612228168966453,0.0,,0.3037771844975619,0.9079511562983195,False,False
SYA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2012,2012,ok,True,135,8010.47607421875,0.0,108.51833522319794,52.975176936388024,0.0,0.08075637949837579,8.1395750452497e-11,8.258984773116633e-09,0.0,0.5425916761159897,0.0,0.24115185605155098,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/SYA_MS0_augmented_RF_prior_replay_seed0_eval2012_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/SYA/MS0_augmented_RF_prior_replay/seed_0_eval_2012,simday_safety_action_table_or_constrained_ppo,,8010.47607421875,0.0,108.51833687146188,52.97517652432204,0.0,,-0.16501246113330093,0.8553088863690694,False,True
