station,method,seed,train_year,timesteps,model_path
HLA,MS1_residual_augmented_RF_prior_strict,0,2011,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/HLA/HLA_MS1_residual_augmented_RF_prior_strict_train2011_seed0.zip
HLA,MS1_residual_augmented_RF_prior_strict,1,2011,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/HLA/HLA_MS1_residual_augmented_RF_prior_strict_train2011_seed1.zip
HLA,MS1_residual_augmented_RF_prior_strict,2,2011,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/HLA/HLA_MS1_residual_augmented_RF_prior_strict_train2011_seed2.zip
SYA,MS1_residual_augmented_RF_prior_strict,0,2012,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/SYA/SYA_MS1_residual_augmented_RF_prior_strict_train2012_seed0.zip
SYA,MS1_residual_augmented_RF_prior_strict,1,2012,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/SYA/SYA_MS1_residual_augmented_RF_prior_strict_train2012_seed1.zip
SYA,MS1_residual_augmented_RF_prior_strict,2,2012,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/SYA/SYA_MS1_residual_augmented_RF_prior_strict_train2012_seed2.zip
LCA,MS1_residual_augmented_RF_prior_strict,0,2010,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/LCA/LCA_MS1_residual_augmented_RF_prior_strict_train2010_seed0.zip
LCA,MS1_residual_augmented_RF_prior_strict,1,2010,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/LCA/LCA_MS1_residual_augmented_RF_prior_strict_train2010_seed1.zip
LCA,MS1_residual_augmented_RF_prior_strict,2,2010,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/LCA/LCA_MS1_residual_augmented_RF_prior_strict_train2010_seed2.zip
HLA,MS2_guardrail_augmented_RF_100_200,0,2011,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/HLA/HLA_MS2_guardrail_augmented_RF_100_200_train2011_seed0.zip
HLA,MS2_guardrail_augmented_RF_100_200,1,2011,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/HLA/HLA_MS2_guardrail_augmented_RF_100_200_train2011_seed1.zip
HLA,MS2_guardrail_augmented_RF_100_200,2,2011,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/HLA/HLA_MS2_guardrail_augmented_RF_100_200_train2011_seed2.zip
SYA,MS2_guardrail_augmented_RF_100_200,0,2012,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/SYA/SYA_MS2_guardrail_augmented_RF_100_200_train2012_seed0.zip
SYA,MS2_guardrail_augmented_RF_100_200,1,2012,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/SYA/SYA_MS2_guardrail_augmented_RF_100_200_train2012_seed1.zip
SYA,MS2_guardrail_augmented_RF_100_200,2,2012,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/SYA/SYA_MS2_guardrail_augmented_RF_100_200_train2012_seed2.zip
LCA,MS2_guardrail_augmented_RF_100_200,0,2010,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/LCA/LCA_MS2_guardrail_augmented_RF_100_200_train2010_seed0.zip
LCA,MS2_guardrail_augmented_RF_100_200,1,2010,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/LCA/LCA_MS2_guardrail_augmented_RF_100_200_train2010_seed1.zip
LCA,MS2_guardrail_augmented_RF_100_200,2,2010,5000,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/models/LCA/LCA_MS2_guardrail_augmented_RF_100_200_train2010_seed2.zip
