schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes,expert_type,copied_daily_csv_path
HLA2011_S0183,HLA,2011,ok,True,169,6853.3050537109375,16551.826171875,0.0003227538836654,0.0,225.0,0.0,225.0,0.0,0.0232550981482105,,3045.9133572048613,12.283050537109377,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0183_eval2011_daily.csv,,top_profit;top_yield;pareto_balanced;low_input_within_5pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0183_eval2011_daily.csv
HLA2011_S0183,HLA,2007,ok,True,149,7289.404907226562,19457.12646484375,1.302313208580017,0.0,225.0,0.0,225.0,0.0,0.0109603769027146,,3239.7355143229165,16.64404907226563,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0183_eval2007_daily.csv,,top_profit;top_yield;pareto_balanced;low_input_within_5pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0183_eval2007_daily.csv
HLA2011_S0183,HLA,2009,ok,True,159,7774.378051757812,16544.52880859375,0.1972353458404541,0.0,225.0,0.0,225.0,0.0,0.0735606987896205,,3455.2791341145835,21.49378051757813,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0183_eval2009_daily.csv,,top_profit;top_yield;pareto_balanced;low_input_within_5pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0183_eval2009_daily.csv
HLA2011_S0209,HLA,2011,ok,True,169,6853.3050537109375,16594.671630859375,0.0003442382731009,0.0,300.0,0.0,300.0,0.0,0.0033776245173617,,2284.435017903646,-6.466949462890625,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0209_eval2011_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0209_eval2011_daily.csv
HLA2011_S0209,HLA,2007,ok,True,149,7289.404907226562,19457.12646484375,1.302313208580017,0.0,300.0,0.0,300.0,0.0,0.0005786002882375,,2429.8016357421875,-2.1059509277343693,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0209_eval2007_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0209_eval2007_daily.csv
HLA2011_S0209,HLA,2009,ok,True,159,7774.378051757812,16654.82666015625,0.2340742200613021,0.0,300.0,0.0,300.0,0.0,0.0232644697780129,,2591.459350585937,2.7437805175781307,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0209_eval2009_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0209_eval2009_daily.csv
HLA2011_S0131,HLA,2011,ok,True,169,6852.808227539063,16553.837890625,0.0003232421877328,0.0,225.0,0.0,225.0,0.0,0.022996350152958,,3045.6925455729165,12.27808227539063,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0131_eval2011_daily.csv,,top_yield;pareto_balanced,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0131_eval2011_daily.csv
HLA2011_S0131,HLA,2007,ok,True,149,7289.40185546875,19457.0947265625,1.30230712890625,0.0,225.0,0.0,225.0,0.0,0.0108933288779034,,3239.7341579861118,16.644018554687506,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0131_eval2007_daily.csv,,top_yield;pareto_balanced,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0131_eval2007_daily.csv
HLA2011_S0131,HLA,2009,ok,True,159,7774.378051757812,16753.3447265625,0.2204160094261169,0.0,225.0,0.0,225.0,0.0,0.0422709155007728,,3455.2791341145835,21.49378051757813,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0131_eval2009_daily.csv,,top_yield;pareto_balanced,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0131_eval2009_daily.csv
HLA2011_S0573,HLA,2011,ok,True,169,6849.0869140625,16559.0576171875,0.0003422851441428,0.0,300.0,0.0,300.0,0.0,0.0006367980375797,,2283.0289713541665,-6.509130859374992,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0573_eval2011_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0573_eval2011_daily.csv
