station,schedule_id,expert_type,mean_yield,std_yield,mean_profit,mean_irrigation,mean_n,mean_yield_loss_vs_ppo_baseline,overall_score,selected_reason
SYA,SYA2012_S0443,top_profit;pareto_balanced;medium_input_stable,8988.521931966146,98.28588831895112,52.385219319661466,0.0,150.0,-0.3072556438453412,0.8389324008283531,top_profit;pareto_balanced;medium_input_stable
SYA,SYA2012_S0313,top_profit;pareto_balanced;medium_input_stable,9019.229329427084,128.72927512843123,52.69229329427083,0.0,150.0,-0.3117216082099441,0.8375746331162787,top_profit;pareto_balanced;medium_input_stable
SYA,SYA2012_S0261,top_profit;pareto_balanced;medium_input_stable,9088.156331380207,202.59329969727852,53.38156331380208,0.0,150.0,-0.3217460830900818,0.8334965248766405,top_profit;pareto_balanced;medium_input_stable
SYA,SYA2012_S0157,top_profit;pareto_balanced;medium_input_stable,9005.472819010416,148.16989882200045,52.55472819010416,0.0,150.0,-0.3097209148792807,0.8320188647429192,top_profit;pareto_balanced;medium_input_stable
SYA,SYA2012_S0105,top_profit;pareto_balanced;medium_input_stable,9114.747111002604,256.2328341089666,53.64747111002604,0.0,150.0,-0.3256133425793202,0.8272378179723037,top_profit;pareto_balanced;medium_input_stable
SYA,SYA2012_S0027,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,6964.1680908203125,110.06071501941052,50.891680908203135,0.0,75.0,-0.0128415005626062,0.747441882237952,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss
SYA,SYA2012_S0079,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,6747.9986572265625,119.37557610246692,48.72998657226563,0.0,75.0,0.0185973404650049,0.715328892711041,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss
SYA,SYA2012_S0235,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,6743.118082682292,148.79634846390843,48.68118082682293,0.0,75.0,0.019307152230109,0.7091606801267833,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss
SYA,SYA2012_S0183,top_yield,10198.618774414062,791.4063110923461,45.73618774414063,0.0,225.0,-0.4832474185623484,0.6846467511104167,top_yield
SYA,SYA2012_S0131,top_yield,10186.23982747396,835.1700842020524,45.61239827473958,0.0,225.0,-0.4814470727018391,0.6747521043294713,top_yield
SYA,SYA2012_S0209,top_yield,10306.690877278646,754.2443941588921,28.066908772786466,0.0,300.0,-0.4989650045549387,0.5115823545769642,top_yield
SYA,SYA2012_S0132,top_yield,10735.247802734377,546.1959296983316,26.102478027343757,50.0,225.0,-0.5612926557251087,0.4788484532764231,top_yield
SYA,SYA2012_S0133,top_yield,10735.247802734377,546.1959296983316,26.102478027343757,50.0,225.0,-0.5612926557251087,0.4788484532764231,top_yield
SYA,SYA2012_S0036,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,7046.567789713542,167.54648921069472,26.71567789713542,50.0,75.0,-0.0248253920460604,0.4214075151234234,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss
SYA,SYA2012_S0045,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,7046.567789713542,167.54648921069472,26.71567789713542,50.0,75.0,-0.0248253920460604,0.4214075151234234,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss
