station,policy_name,model_type,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,daily_csv_path,figure_dir,notes,yield_loss_vs_expert_schedule,yield_loss_vs_ppo_baseline,irrigation_diff_vs_expert,n_diff_vs_expert
HLA,BC_constant_schedule_baseline,constant_schedule_baseline,2011,ok,True,169,6364.1424560546875,0.0,150.0,0.0,0.11264886552765524,26.141424560546874,Leave_One_experiments/imitation_learning_prior/daily_outputs/HLA/HLA_BC_constant_schedule_baseline_eval2011_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/HLA/BC_constant_schedule_baseline/eval_2011,action_table_replay_from_bc_model,1.4290923059204268e-16,0.07442389228354218,0.0,0.0
HLA,BC_constant_schedule_baseline,constant_schedule_baseline,2007,ok,True,149,6799.5751953125,0.0,150.0,0.0,0.08510356881474489,30.495751953124994,Leave_One_experiments/imitation_learning_prior/daily_outputs/HLA/HLA_BC_constant_schedule_baseline_eval2007_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/HLA/BC_constant_schedule_baseline/eval_2007,action_table_replay_from_bc_model,0.0,0.011096249516662838,0.0,0.0
HLA,BC_constant_schedule_baseline,constant_schedule_baseline,2009,ok,True,159,7094.6240234375,0.0,150.0,0.0,0.18862174507581964,33.446240234375,Leave_One_experiments/imitation_learning_prior/daily_outputs/HLA/HLA_BC_constant_schedule_baseline_eval2009_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/HLA/BC_constant_schedule_baseline/eval_2009,action_table_replay_from_bc_model,0.0,-0.03181450363004406,0.0,0.0
SYA,BC_constant_schedule_baseline,constant_schedule_baseline,2012,ok,True,135,9010.3125,0.0,150.0,0.0,0.05242769850624932,52.603125000000006,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_constant_schedule_baseline_eval2012_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_constant_schedule_baseline/eval_2012,action_table_replay_from_bc_model,0.0,-0.31042477924496076,0.0,0.0
SYA,BC_constant_schedule_baseline,constant_schedule_baseline,2014,ok,True,144,8881.16943359375,0.0,150.0,0.050835895662506424,0.07546355430450705,51.3116943359375,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_constant_schedule_baseline_eval2014_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_constant_schedule_baseline/eval_2014,action_table_replay_from_bc_model,0.0,-0.2916427143291848,0.0,0.0
SYA,BC_constant_schedule_baseline,constant_schedule_baseline,2015,ok,True,143,9074.083862304688,0.0,150.0,0.0,0.07026212969859996,53.24083862304688,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_constant_schedule_baseline_eval2015_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_constant_schedule_baseline/eval_2015,action_table_replay_from_bc_model,0.0,-0.3196994379618777,0.0,0.0
LCA,BC_constant_schedule_baseline,constant_schedule_baseline,2010,ok,True,92,8008.47412109375,0.0,150.0,0.0,0.003781319312427355,42.58474121093751,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_constant_schedule_baseline_eval2010_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_constant_schedule_baseline/eval_2010,action_table_replay_from_bc_model,0.0,-0.16472130486298434,0.0,0.0
LCA,BC_constant_schedule_baseline,constant_schedule_baseline,2011,ok,True,102,8909.713134765625,0.0,150.0,0.0,0.0298672522984299,51.59713134765626,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_constant_schedule_baseline_eval2011_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_constant_schedule_baseline/eval_2011,action_table_replay_from_bc_model,0.0,-0.2957939991272413,0.0,0.0
LCA,BC_constant_schedule_baseline,constant_schedule_baseline,2008,ok,True,105,9245.798950195312,0.0,150.0,0.0,0.025319461027781168,54.95798950195312,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_constant_schedule_baseline_eval2008_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_constant_schedule_baseline/eval_2008,action_table_replay_from_bc_model,0.0,-0.34467301197966027,0.0,0.0
LCA,BC_constant_schedule_baseline,constant_schedule_baseline,2009,ok,True,102,8864.37744140625,0.0,150.0,0.0,0.015838941522673063,51.143774414062506,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_constant_schedule_baseline_eval2009_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_constant_schedule_baseline/eval_2009,action_table_replay_from_bc_model,0.0,-0.2892005523447489,0.0,0.0
