schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
HLA2011_S0001,HLA,2011,0.0,0.0,1,0.0,30,0.0,60,0.0,25,0.0,50,0.0,75,0.0
HLA2011_S0002,HLA,2011,0.0,50.0,1,0.0,30,0.0,60,0.0,25,0.0,50,0.0,75,50.0
HLA2011_S0003,HLA,2011,0.0,100.0,1,0.0,30,0.0,60,0.0,25,0.0,50,0.0,75,100.0
HLA2011_S0004,HLA,2011,0.0,50.0,1,0.0,30,0.0,60,0.0,25,0.0,50,50.0,75,0.0
HLA2011_S0005,HLA,2011,0.0,100.0,1,0.0,30,0.0,60,0.0,25,0.0,50,50.0,75,50.0
HLA2011_S0006,HLA,2011,0.0,150.0,1,0.0,30,0.0,60,0.0,25,0.0,50,50.0,75,100.0
HLA2011_S0007,HLA,2011,0.0,100.0,1,0.0,30,0.0,60,0.0,25,0.0,50,100.0,75,0.0
HLA2011_S0008,HLA,2011,0.0,150.0,1,0.0,30,0.0,60,0.0,25,0.0,50,100.0,75,50.0
HLA2011_S0009,HLA,2011,0.0,200.0,1,0.0,30,0.0,60,0.0,25,0.0,50,100.0,75,100.0
HLA2011_S0010,HLA,2011,0.0,50.0,1,0.0,30,0.0,60,0.0,25,50.0,50,0.0,75,0.0
HLA2011_S0011,HLA,2011,0.0,100.0,1,0.0,30,0.0,60,0.0,25,50.0,50,0.0,75,50.0
HLA2011_S0012,HLA,2011,0.0,150.0,1,0.0,30,0.0,60,0.0,25,50.0,50,0.0,75,100.0
HLA2011_S0013,HLA,2011,0.0,100.0,1,0.0,30,0.0,60,0.0,25,50.0,50,50.0,75,0.0
HLA2011_S0014,HLA,2011,0.0,150.0,1,0.0,30,0.0,60,0.0,25,50.0,50,50.0,75,50.0
HLA2011_S0015,HLA,2011,0.0,200.0,1,0.0,30,0.0,60,0.0,25,50.0,50,50.0,75,100.0
HLA2011_S0016,HLA,2011,0.0,150.0,1,0.0,30,0.0,60,0.0,25,50.0,50,100.0,75,0.0
HLA2011_S0017,HLA,2011,0.0,200.0,1,0.0,30,0.0,60,0.0,25,50.0,50,100.0,75,50.0
HLA2011_S0018,HLA,2011,0.0,250.0,1,0.0,30,0.0,60,0.0,25,50.0,50,100.0,75,100.0
HLA2011_S0019,HLA,2011,0.0,100.0,1,0.0,30,0.0,60,0.0,25,100.0,50,0.0,75,0.0
HLA2011_S0020,HLA,2011,0.0,150.0,1,0.0,30,0.0,60,0.0,25,100.0,50,0.0,75,50.0
HLA2011_S0021,HLA,2011,0.0,200.0,1,0.0,30,0.0,60,0.0,25,100.0,50,0.0,75,100.0
HLA2011_S0022,HLA,2011,0.0,150.0,1,0.0,30,0.0,60,0.0,25,100.0,50,50.0,75,0.0
HLA2011_S0023,HLA,2011,0.0,200.0,1,0.0,30,0.0,60,0.0,25,100.0,50,50.0,75,50.0
HLA2011_S0024,HLA,2011,0.0,250.0,1,0.0,30,0.0,60,0.0,25,100.0,50,50.0,75,100.0
HLA2011_S0025,HLA,2011,0.0,200.0,1,0.0,30,0.0,60,0.0,25,100.0,50,100.0,75,0.0
HLA2011_S0026,HLA,2011,0.0,250.0,1,0.0,30,0.0,60,0.0,25,100.0,50,100.0,75,50.0
HLA2011_S0027,HLA,2011,75.0,0.0,1,0.0,30,0.0,60,75.0,25,0.0,50,0.0,75,0.0
HLA2011_S0028,HLA,2011,75.0,50.0,1,0.0,30,0.0,60,75.0,25,0.0,50,0.0,75,50.0
HLA2011_S0029,HLA,2011,75.0,100.0,1,0.0,30,0.0,60,75.0,25,0.0,50,0.0,75,100.0
HLA2011_S0030,HLA,2011,75.0,50.0,1,0.0,30,0.0,60,75.0,25,0.0,50,50.0,75,0.0
HLA2011_S0031,HLA,2011,75.0,100.0,1,0.0,30,0.0,60,75.0,25,0.0,50,50.0,75,50.0
HLA2011_S0032,HLA,2011,75.0,150.0,1,0.0,30,0.0,60,75.0,25,0.0,50,50.0,75,100.0
HLA2011_S0033,HLA,2011,75.0,100.0,1,0.0,30,0.0,60,75.0,25,0.0,50,100.0,75,0.0
HLA2011_S0034,HLA,2011,75.0,150.0,1,0.0,30,0.0,60,75.0,25,0.0,50,100.0,75,50.0
HLA2011_S0035,HLA,2011,75.0,200.0,1,0.0,30,0.0,60,75.0,25,0.0,50,100.0,75,100.0
HLA2011_S0036,HLA,2011,75.0,50.0,1,0.0,30,0.0,60,75.0,25,50.0,50,0.0,75,0.0
HLA2011_S0037,HLA,2011,75.0,100.0,1,0.0,30,0.0,60,75.0,25,50.0,50,0.0,75,50.0
HLA2011_S0038,HLA,2011,75.0,150.0,1,0.0,30,0.0,60,75.0,25,50.0,50,0.0,75,100.0
HLA2011_S0039,HLA,2011,75.0,100.0,1,0.0,30,0.0,60,75.0,25,50.0,50,50.0,75,0.0
HLA2011_S0040,HLA,2011,75.0,150.0,1,0.0,30,0.0,60,75.0,25,50.0,50,50.0,75,50.0
HLA2011_S0041,HLA,2011,75.0,200.0,1,0.0,30,0.0,60,75.0,25,50.0,50,50.0,75,100.0
HLA2011_S0042,HLA,2011,75.0,150.0,1,0.0,30,0.0,60,75.0,25,50.0,50,100.0,75,0.0
HLA2011_S0043,HLA,2011,75.0,200.0,1,0.0,30,0.0,60,75.0,25,50.0,50,100.0,75,50.0
HLA2011_S0044,HLA,2011,75.0,250.0,1,0.0,30,0.0,60,75.0,25,50.0,50,100.0,75,100.0
HLA2011_S0045,HLA,2011,75.0,100.0,1,0.0,30,0.0,60,75.0,25,100.0,50,0.0,75,0.0
HLA2011_S0046,HLA,2011,75.0,150.0,1,0.0,30,0.0,60,75.0,25,100.0,50,0.0,75,50.0
HLA2011_S0047,HLA,2011,75.0,200.0,1,0.0,30,0.0,60,75.0,25,100.0,50,0.0,75,100.0
HLA2011_S0048,HLA,2011,75.0,150.0,1,0.0,30,0.0,60,75.0,25,100.0,50,50.0,75,0.0
HLA2011_S0049,HLA,2011,75.0,200.0,1,0.0,30,0.0,60,75.0,25,100.0,50,50.0,75,50.0
HLA2011_S0050,HLA,2011,75.0,250.0,1,0.0,30,0.0,60,75.0,25,100.0,50,50.0,75,100.0
HLA2011_S0051,HLA,2011,75.0,200.0,1,0.0,30,0.0,60,75.0,25,100.0,50,100.0,75,0.0
HLA2011_S0052,HLA,2011,75.0,250.0,1,0.0,30,0.0,60,75.0,25,100.0,50,100.0,75,50.0
HLA2011_S0053,HLA,2011,150.0,0.0,1,0.0,30,0.0,60,150.0,25,0.0,50,0.0,75,0.0
HLA2011_S0054,HLA,2011,150.0,50.0,1,0.0,30,0.0,60,150.0,25,0.0,50,0.0,75,50.0
HLA2011_S0055,HLA,2011,150.0,100.0,1,0.0,30,0.0,60,150.0,25,0.0,50,0.0,75,100.0
HLA2011_S0056,HLA,2011,150.0,50.0,1,0.0,30,0.0,60,150.0,25,0.0,50,50.0,75,0.0
HLA2011_S0057,HLA,2011,150.0,100.0,1,0.0,30,0.0,60,150.0,25,0.0,50,50.0,75,50.0
HLA2011_S0058,HLA,2011,150.0,150.0,1,0.0,30,0.0,60,150.0,25,0.0,50,50.0,75,100.0
HLA2011_S0059,HLA,2011,150.0,100.0,1,0.0,30,0.0,60,150.0,25,0.0,50,100.0,75,0.0
HLA2011_S0060,HLA,2011,150.0,150.0,1,0.0,30,0.0,60,150.0,25,0.0,50,100.0,75,50.0
HLA2011_S0061,HLA,2011,150.0,200.0,1,0.0,30,0.0,60,150.0,25,0.0,50,100.0,75,100.0
HLA2011_S0062,HLA,2011,150.0,50.0,1,0.0,30,0.0,60,150.0,25,50.0,50,0.0,75,0.0
HLA2011_S0063,HLA,2011,150.0,100.0,1,0.0,30,0.0,60,150.0,25,50.0,50,0.0,75,50.0
HLA2011_S0064,HLA,2011,150.0,150.0,1,0.0,30,0.0,60,150.0,25,50.0,50,0.0,75,100.0
HLA2011_S0065,HLA,2011,150.0,100.0,1,0.0,30,0.0,60,150.0,25,50.0,50,50.0,75,0.0
HLA2011_S0066,HLA,2011,150.0,150.0,1,0.0,30,0.0,60,150.0,25,50.0,50,50.0,75,50.0
HLA2011_S0067,HLA,2011,150.0,200.0,1,0.0,30,0.0,60,150.0,25,50.0,50,50.0,75,100.0
HLA2011_S0068,HLA,2011,150.0,150.0,1,0.0,30,0.0,60,150.0,25,50.0,50,100.0,75,0.0
HLA2011_S0069,HLA,2011,150.0,200.0,1,0.0,30,0.0,60,150.0,25,50.0,50,100.0,75,50.0
HLA2011_S0070,HLA,2011,150.0,250.0,1,0.0,30,0.0,60,150.0,25,50.0,50,100.0,75,100.0
HLA2011_S0071,HLA,2011,150.0,100.0,1,0.0,30,0.0,60,150.0,25,100.0,50,0.0,75,0.0
HLA2011_S0072,HLA,2011,150.0,150.0,1,0.0,30,0.0,60,150.0,25,100.0,50,0.0,75,50.0
