schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
LCA2010_S0001,LCA,2010,0.0,0.0,1,0.0,30,0.0,60,0.0,25,0.0,50,0.0,75,0.0
LCA2010_S0002,LCA,2010,0.0,50.0,1,0.0,30,0.0,60,0.0,25,0.0,50,0.0,75,50.0
LCA2010_S0003,LCA,2010,0.0,100.0,1,0.0,30,0.0,60,0.0,25,0.0,50,0.0,75,100.0
LCA2010_S0004,LCA,2010,0.0,50.0,1,0.0,30,0.0,60,0.0,25,0.0,50,50.0,75,0.0
LCA2010_S0005,LCA,2010,0.0,100.0,1,0.0,30,0.0,60,0.0,25,0.0,50,50.0,75,50.0
LCA2010_S0006,LCA,2010,0.0,150.0,1,0.0,30,0.0,60,0.0,25,0.0,50,50.0,75,100.0
LCA2010_S0007,LCA,2010,0.0,100.0,1,0.0,30,0.0,60,0.0,25,0.0,50,100.0,75,0.0
LCA2010_S0008,LCA,2010,0.0,150.0,1,0.0,30,0.0,60,0.0,25,0.0,50,100.0,75,50.0
LCA2010_S0009,LCA,2010,0.0,200.0,1,0.0,30,0.0,60,0.0,25,0.0,50,100.0,75,100.0
LCA2010_S0010,LCA,2010,0.0,50.0,1,0.0,30,0.0,60,0.0,25,50.0,50,0.0,75,0.0
LCA2010_S0011,LCA,2010,0.0,100.0,1,0.0,30,0.0,60,0.0,25,50.0,50,0.0,75,50.0
LCA2010_S0012,LCA,2010,0.0,150.0,1,0.0,30,0.0,60,0.0,25,50.0,50,0.0,75,100.0
LCA2010_S0013,LCA,2010,0.0,100.0,1,0.0,30,0.0,60,0.0,25,50.0,50,50.0,75,0.0
LCA2010_S0014,LCA,2010,0.0,150.0,1,0.0,30,0.0,60,0.0,25,50.0,50,50.0,75,50.0
LCA2010_S0015,LCA,2010,0.0,200.0,1,0.0,30,0.0,60,0.0,25,50.0,50,50.0,75,100.0
LCA2010_S0016,LCA,2010,0.0,150.0,1,0.0,30,0.0,60,0.0,25,50.0,50,100.0,75,0.0
LCA2010_S0017,LCA,2010,0.0,200.0,1,0.0,30,0.0,60,0.0,25,50.0,50,100.0,75,50.0
LCA2010_S0018,LCA,2010,0.0,250.0,1,0.0,30,0.0,60,0.0,25,50.0,50,100.0,75,100.0
LCA2010_S0019,LCA,2010,0.0,100.0,1,0.0,30,0.0,60,0.0,25,100.0,50,0.0,75,0.0
LCA2010_S0020,LCA,2010,0.0,150.0,1,0.0,30,0.0,60,0.0,25,100.0,50,0.0,75,50.0
LCA2010_S0021,LCA,2010,0.0,200.0,1,0.0,30,0.0,60,0.0,25,100.0,50,0.0,75,100.0
LCA2010_S0022,LCA,2010,0.0,150.0,1,0.0,30,0.0,60,0.0,25,100.0,50,50.0,75,0.0
LCA2010_S0023,LCA,2010,0.0,200.0,1,0.0,30,0.0,60,0.0,25,100.0,50,50.0,75,50.0
LCA2010_S0024,LCA,2010,0.0,250.0,1,0.0,30,0.0,60,0.0,25,100.0,50,50.0,75,100.0
LCA2010_S0025,LCA,2010,0.0,200.0,1,0.0,30,0.0,60,0.0,25,100.0,50,100.0,75,0.0
LCA2010_S0026,LCA,2010,0.0,250.0,1,0.0,30,0.0,60,0.0,25,100.0,50,100.0,75,50.0
LCA2010_S0027,LCA,2010,75.0,0.0,1,0.0,30,0.0,60,75.0,25,0.0,50,0.0,75,0.0
LCA2010_S0028,LCA,2010,75.0,50.0,1,0.0,30,0.0,60,75.0,25,0.0,50,0.0,75,50.0
LCA2010_S0029,LCA,2010,75.0,100.0,1,0.0,30,0.0,60,75.0,25,0.0,50,0.0,75,100.0
LCA2010_S0030,LCA,2010,75.0,50.0,1,0.0,30,0.0,60,75.0,25,0.0,50,50.0,75,0.0
LCA2010_S0031,LCA,2010,75.0,100.0,1,0.0,30,0.0,60,75.0,25,0.0,50,50.0,75,50.0
LCA2010_S0032,LCA,2010,75.0,150.0,1,0.0,30,0.0,60,75.0,25,0.0,50,50.0,75,100.0
LCA2010_S0033,LCA,2010,75.0,100.0,1,0.0,30,0.0,60,75.0,25,0.0,50,100.0,75,0.0
LCA2010_S0034,LCA,2010,75.0,150.0,1,0.0,30,0.0,60,75.0,25,0.0,50,100.0,75,50.0
LCA2010_S0035,LCA,2010,75.0,200.0,1,0.0,30,0.0,60,75.0,25,0.0,50,100.0,75,100.0
