schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
SYA2012_S0001,SYA,2012,0.0,0.0,1,0.0,30,0.0,60,0.0,25,0.0,50,0.0,75,0.0
SYA2012_S0002,SYA,2012,0.0,50.0,1,0.0,30,0.0,60,0.0,25,0.0,50,0.0,75,50.0
SYA2012_S0003,SYA,2012,0.0,100.0,1,0.0,30,0.0,60,0.0,25,0.0,50,0.0,75,100.0
SYA2012_S0004,SYA,2012,0.0,50.0,1,0.0,30,0.0,60,0.0,25,0.0,50,50.0,75,0.0
SYA2012_S0005,SYA,2012,0.0,100.0,1,0.0,30,0.0,60,0.0,25,0.0,50,50.0,75,50.0
SYA2012_S0006,SYA,2012,0.0,150.0,1,0.0,30,0.0,60,0.0,25,0.0,50,50.0,75,100.0
SYA2012_S0007,SYA,2012,0.0,100.0,1,0.0,30,0.0,60,0.0,25,0.0,50,100.0,75,0.0
SYA2012_S0008,SYA,2012,0.0,150.0,1,0.0,30,0.0,60,0.0,25,0.0,50,100.0,75,50.0
SYA2012_S0009,SYA,2012,0.0,200.0,1,0.0,30,0.0,60,0.0,25,0.0,50,100.0,75,100.0
SYA2012_S0010,SYA,2012,0.0,50.0,1,0.0,30,0.0,60,0.0,25,50.0,50,0.0,75,0.0
SYA2012_S0011,SYA,2012,0.0,100.0,1,0.0,30,0.0,60,0.0,25,50.0,50,0.0,75,50.0
SYA2012_S0012,SYA,2012,0.0,150.0,1,0.0,30,0.0,60,0.0,25,50.0,50,0.0,75,100.0
SYA2012_S0013,SYA,2012,0.0,100.0,1,0.0,30,0.0,60,0.0,25,50.0,50,50.0,75,0.0
SYA2012_S0014,SYA,2012,0.0,150.0,1,0.0,30,0.0,60,0.0,25,50.0,50,50.0,75,50.0
SYA2012_S0015,SYA,2012,0.0,200.0,1,0.0,30,0.0,60,0.0,25,50.0,50,50.0,75,100.0
SYA2012_S0016,SYA,2012,0.0,150.0,1,0.0,30,0.0,60,0.0,25,50.0,50,100.0,75,0.0
