schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes
HLA2011_S0001,HLA,2011,ok,True,164,197.71472930908203,610.060920715332,8.239745511673391e-06,0.0,0.0,0.0,0.0,0.0,0.3797047178192836,,,1.9771472930908205,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0001_eval2011_daily.csv,
HLA2011_S0002,HLA,2011,ok,True,164,123.45944404602052,535.6728363037109,7.995605301402975e-06,50.0,0.0,50.0,0.0,0.0,0.3857846959698491,246.91888809204104,,-23.7654055595398,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0002_eval2011_daily.csv,
HLA2011_S0003,HLA,2011,ok,True,164,123.45944404602052,535.6728363037109,7.995605301402975e-06,50.0,0.0,100.0,0.0,0.0,0.3857846959698491,246.91888809204104,,-23.7654055595398,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0003_eval2011_daily.csv,
HLA2011_S0004,HLA,2011,ok,True,164,149.37498092651367,458.2599258422852,7.171630841185106e-06,50.0,0.0,50.0,0.0,0.0,0.3673229860823329,298.74996185302734,,-23.506250190734864,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0004_eval2011_daily.csv,
HLA2011_S0005,HLA,2011,ok,True,164,85.26627540588379,388.685302734375,6.80541961628478e-06,100.0,0.0,100.0,0.0,0.0,0.3757490410310466,85.26627540588379,,-49.14733724594116,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0005_eval2011_daily.csv,
HLA2011_S0006,HLA,2011,ok,True,164,85.26627540588379,388.685302734375,6.80541961628478e-06,100.0,0.0,150.0,0.0,0.0,0.3757490410310466,85.26627540588379,,-49.14733724594116,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0006_eval2011_daily.csv,
HLA2011_S0007,HLA,2011,ok,True,164,149.37498092651367,458.2599258422852,7.171630841185106e-06,50.0,0.0,100.0,0.0,0.0,0.3673229860823329,298.74996185302734,,-23.506250190734864,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0007_eval2011_daily.csv,
HLA2011_S0008,HLA,2011,ok,True,164,85.26627540588379,388.685302734375,6.80541961628478e-06,100.0,0.0,150.0,0.0,0.0,0.3757490410310466,85.26627540588379,,-49.14733724594116,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0008_eval2011_daily.csv,
HLA2011_S0009,HLA,2011,ok,True,164,85.26627540588379,388.685302734375,6.80541961628478e-06,100.0,0.0,200.0,0.0,0.0,0.3757490410310466,85.26627540588379,,-49.14733724594116,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0009_eval2011_daily.csv,
HLA2011_S0010,HLA,2011,ok,True,164,156.91323280334473,473.3024597167969,7.507323971367441e-06,50.0,0.0,50.0,0.0,0.0,0.3582107912658191,313.82646560668945,,-23.43086767196656,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0010_eval2011_daily.csv,
HLA2011_S0011,HLA,2011,ok,True,164,86.11705780029297,396.9171142578125,7.171630841185106e-06,100.0,0.0,100.0,0.0,0.0,0.3662967745487283,86.11705780029297,,-49.13882942199707,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0011_eval2011_daily.csv,
HLA2011_S0012,HLA,2011,ok,True,164,86.11705780029297,396.9171142578125,7.171630841185106e-06,100.0,0.0,150.0,0.0,0.0,0.3662967745487283,86.11705780029297,,-49.13882942199707,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0012_eval2011_daily.csv,
HLA2011_S0013,HLA,2011,ok,True,164,131.5081024169922,338.39149475097656,6.164550541143399e-06,100.0,0.0,100.0,0.0,0.0,0.3392500983687436,131.5081024169922,,-48.68491897583008,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0013_eval2011_daily.csv,
HLA2011_S0014,HLA,2011,ok,True,164,74.1692066192627,275.8709907531738,5.676269211107865e-06,150.0,0.0,150.0,0.0,0.0,0.3509794632654364,49.44613774617513,,-74.25830793380737,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0014_eval2011_daily.csv,
HLA2011_S0015,HLA,2011,ok,True,164,74.1692066192627,275.8709907531738,5.676269211107865e-06,150.0,0.0,200.0,0.0,0.0,0.3509794632654364,49.44613774617513,,-74.25830793380737,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0015_eval2011_daily.csv,
HLA2011_S0016,HLA,2011,ok,True,164,131.5081024169922,338.39149475097656,6.164550541143399e-06,100.0,0.0,150.0,0.0,0.0,0.3392500983687436,131.5081024169922,,-48.68491897583008,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0016_eval2011_daily.csv,
HLA2011_S0017,HLA,2011,ok,True,164,74.1692066192627,275.8709907531738,5.676269211107865e-06,150.0,0.0,200.0,0.0,0.0,0.3509794632654364,49.44613774617513,,-74.25830793380737,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0017_eval2011_daily.csv,
