schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes
LCA2010_S0001,LCA,2010,ok,True,92,2774.4976806640625,4827.621765136719,0.34181857109069824,0.0,0.0,0.0,0.0,0.0,0.22091466253218445,,,27.744976806640626,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0001_eval2010_daily.csv,
LCA2010_S0002,LCA,2010,ok,True,92,2767.6693725585938,4820.793151855469,0.3394278883934021,50.0,0.0,50.0,0.0,0.0,0.2233126850231834,5535.3387451171875,,2.676693725585938,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0002_eval2010_daily.csv,
LCA2010_S0003,LCA,2010,ok,True,92,2767.6693725585938,4820.793151855469,0.3394278883934021,50.0,0.0,100.0,0.0,0.0,0.2233126850231834,5535.3387451171875,,2.676693725585938,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0003_eval2010_daily.csv,
LCA2010_S0004,LCA,2010,ok,True,92,2780.4180908203125,4832.23388671875,0.3477686941623688,50.0,0.0,50.0,0.0,0.0,0.21964643442112466,5560.836181640625,,2.8041809082031257,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0004_eval2010_daily.csv,
LCA2010_S0005,LCA,2010,ok,True,92,2773.25439453125,4825.070495605469,0.34535929560661316,100.0,0.0,100.0,0.0,0.0,0.22206370078999063,2773.25439453125,,-22.2674560546875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0005_eval2010_daily.csv,
LCA2010_S0006,LCA,2010,ok,True,92,2773.25439453125,4825.070495605469,0.34535929560661316,100.0,0.0,150.0,0.0,0.0,0.22206370078999063,2773.25439453125,,-22.2674560546875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0006_eval2010_daily.csv,
LCA2010_S0007,LCA,2010,ok,True,92,2780.4180908203125,4832.23388671875,0.3477686941623688,50.0,0.0,100.0,0.0,0.0,0.21964643442112466,5560.836181640625,,2.8041809082031257,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0007_eval2010_daily.csv,
LCA2010_S0008,LCA,2010,ok,True,92,2773.25439453125,4825.070495605469,0.34535929560661316,100.0,0.0,150.0,0.0,0.0,0.22206370078999063,2773.25439453125,,-22.2674560546875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0008_eval2010_daily.csv,
LCA2010_S0009,LCA,2010,ok,True,92,2773.25439453125,4825.070495605469,0.34535929560661316,100.0,0.0,200.0,0.0,0.0,0.22206370078999063,2773.25439453125,,-22.2674560546875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0009_eval2010_daily.csv,
LCA2010_S0010,LCA,2010,ok,True,92,2801.8515014648438,4834.6807861328125,0.34106552600860596,50.0,0.0,50.0,0.0,0.0,0.22117480441280032,5603.7030029296875,,3.0185150146484396,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0010_eval2010_daily.csv,
LCA2010_S0011,LCA,2010,ok,True,92,2793.594970703125,4826.424560546875,0.3386252820491791,100.0,0.0,100.0,0.0,0.0,0.22372418642044067,2793.594970703125,,-22.064050292968748,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0011_eval2010_daily.csv,
LCA2010_S0012,LCA,2010,ok,True,92,2793.594970703125,4826.424560546875,0.3386252820491791,100.0,0.0,150.0,0.0,0.0,0.22372418642044067,2793.594970703125,,-22.064050292968748,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0012_eval2010_daily.csv,
