schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes,yield_loss_vs_ppo_baseline,irrigation_reduction_vs_ppo_baseline,n_reduction_vs_ppo_baseline,is_pareto
LCA2010_S0530,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,50.0,225.0,50.0,225.0,0.0017804607101108718,0.0002987663383069246,16640.733642578125,3697.9408094618057,1.9536682128906335,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0530_eval2010_daily.csv,,-0.21008176520235183,0.8333333333333334,0.5,True
LCA2010_S0539,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,50.0,225.0,100.0,225.0,0.0017804607101108718,0.0002987663383069246,16640.733642578125,3697.9408094618057,1.9536682128906335,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0539_eval2010_daily.csv,,-0.21008176520235183,0.8333333333333334,0.5,True
LCA2010_S0452,LCA,2010,ok,True,92,8285.57861328125,15788.3642578125,1.5432507991790771,50.0,150.0,50.0,150.0,0.0024659970532292905,0.0017278628504794576,16571.1572265625,5523.719075520833,20.355786132812497,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0452_eval2010_daily.csv,,-0.2050223036355121,0.8333333333333334,0.6666666666666667,True
LCA2010_S0461,LCA,2010,ok,True,92,8285.57861328125,15788.3642578125,1.5432507991790771,50.0,150.0,100.0,150.0,0.0024659970532292905,0.0017278628504794576,16571.1572265625,5523.719075520833,20.355786132812497,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0461_eval2010_daily.csv,,-0.2050223036355121,0.8333333333333334,0.6666666666666667,True
LCA2010_S0313,LCA,2010,ok,True,92,8008.47412109375,15525.62255859375,1.5073648691177368,0.0,150.0,0.0,150.0,0.0,0.003781319312427355,,5338.982747395833,42.58474121093751,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0313_eval2010_daily.csv,,-0.16472130486298434,1.0,0.6666666666666667,True
LCA2010_S0247,LCA,2010,ok,True,92,6874.9810791015625,13825.2978515625,1.5114079713821411,100.0,75.0,100.0,75.0,0.0,0.09929019601448723,6874.9810791015625,9166.641438802084,-0.0001892089843664735,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0247_eval2010_daily.csv,,0.00012951127999752873,0.6666666666666667,0.8333333333333334,True
LCA2010_S0250,LCA,2010,ok,True,92,6874.9810791015625,13825.2978515625,1.5114079713821411,100.0,75.0,150.0,75.0,0.0,0.09929019601448723,6874.9810791015625,9166.641438802084,-0.0001892089843664735,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0250_eval2010_daily.csv,,0.00012951127999752873,0.6666666666666667,0.8333333333333334,True
LCA2010_S0256,LCA,2010,ok,True,92,6874.9810791015625,13825.2978515625,1.5114079713821411,100.0,75.0,150.0,75.0,0.0,0.09929019601448723,6874.9810791015625,9166.641438802084,-0.0001892089843664735,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0256_eval2010_daily.csv,,0.00012951127999752873,0.6666666666666667,0.8333333333333334,True
LCA2010_S0259,LCA,2010,ok,True,92,6874.9810791015625,13825.2978515625,1.5114079713821411,100.0,75.0,200.0,75.0,0.0,0.09929019601448723,6874.9810791015625,9166.641438802084,-0.0001892089843664735,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0259_eval2010_daily.csv,,0.00012951127999752873,0.6666666666666667,0.8333333333333334,True
LCA2010_S0244,LCA,2010,ok,True,92,6856.1669921875,13806.1279296875,1.5114079713821411,50.0,75.0,50.0,75.0,0.0,0.10042867064476013,13712.333984375,9141.555989583334,24.81166992187501,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0244_eval2010_daily.csv,,0.002865758850884316,0.8333333333333334,0.8333333333333334,True
LCA2010_S0253,LCA,2010,ok,True,92,6856.1669921875,13806.1279296875,1.5114079713821411,50.0,75.0,100.0,75.0,0.0,0.10042867064476013,13712.333984375,9141.555989583334,24.81166992187501,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0253_eval2010_daily.csv,,0.002865758850884316,0.8333333333333334,0.8333333333333334,True
LCA2010_S0235,LCA,2010,ok,True,92,6756.5509033203125,13615.36376953125,1.479308843612671,0.0,75.0,0.0,75.0,0.0,0.10557051002979279,,9008.734537760416,48.81550903320313,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0235_eval2010_daily.csv,,0.01735353508095742,1.0,0.8333333333333334,True
