schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes
LCA2010_S0530,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,50.0,225.0,50.0,225.0,0.0017804607101108718,0.0002987663383069246,16640.733642578125,3697.9408094618057,1.9536682128906335,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0530_eval2010_daily.csv,
LCA2010_S0530,LCA,2011,ok,True,102,9129.4482421875,17945.66162109375,1.8362398147583008,50.0,225.0,50.0,225.0,0.0,0.0005292752209831687,18258.896484375,4057.5325520833335,10.044482421875003,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0530_eval2011_daily.csv,
LCA2010_S0530,LCA,2008,ok,True,105,9220.861206054688,17641.119384765625,1.741544485092163,50.0,225.0,50.0,225.0,0.0,0.0002791444460550944,18441.722412109375,4098.160536024306,10.958612060546884,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0530_eval2008_daily.csv,
LCA2010_S0530,LCA,2009,ok,True,102,9040.887451171875,17434.4482421875,1.7847366333007812,50.0,225.0,50.0,225.0,0.0,0.00024068121816597733,18081.77490234375,4018.1722005208335,9.15887451171875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0530_eval2009_daily.csv,
LCA2010_S0539,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,50.0,225.0,100.0,225.0,0.0017804607101108718,0.0002987663383069246,16640.733642578125,3697.9408094618057,1.9536682128906335,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0539_eval2010_daily.csv,
LCA2010_S0539,LCA,2011,ok,True,102,9129.4482421875,17945.66162109375,1.8362398147583008,50.0,225.0,100.0,225.0,0.0,0.0005292752209831687,18258.896484375,4057.5325520833335,10.044482421875003,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0539_eval2011_daily.csv,
LCA2010_S0539,LCA,2008,ok,True,105,9220.861206054688,17641.119384765625,1.741544485092163,50.0,225.0,100.0,225.0,0.0,0.0002791444460550944,18441.722412109375,4098.160536024306,10.958612060546884,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0539_eval2008_daily.csv,
LCA2010_S0539,LCA,2009,ok,True,102,9040.887451171875,17434.4482421875,1.7847366333007812,50.0,225.0,100.0,225.0,0.0,0.00024068121816597733,18081.77490234375,4018.1722005208335,9.15887451171875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0539_eval2009_daily.csv,
LCA2010_S0565,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,50.0,300.0,100.0,300.0,0.0017804607101108718,0.0002987663383069246,16640.733642578125,2773.455607096354,-16.796331787109366,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0565_eval2010_daily.csv,
LCA2010_S0565,LCA,2011,ok,True,102,9129.4482421875,17945.66162109375,1.8362398147583008,50.0,300.0,100.0,300.0,0.0,0.0005292752209831687,18258.896484375,3043.1494140625,-8.705517578124997,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0565_eval2011_daily.csv,
