station,experiment_group,train_year,train_year_label,validation_years,validation_year_labels,num_observed_years,cross_validation_type,notes
HLA,HLA_train2007_seed0,2007,observed_low_rain_year,"2011,2009","observed_mid_rain_year,observed_high_rain_year",3,three_year_leave_one,observed_year_leave_one
HLA,HLA_train2011_seed0,2011,observed_mid_rain_year,"2007,2009","observed_low_rain_year,observed_high_rain_year",3,three_year_leave_one,observed_year_leave_one
HLA,HLA_train2009_seed0,2009,observed_high_rain_year,"2007,2011","observed_low_rain_year,observed_mid_rain_year",3,three_year_leave_one,observed_year_leave_one
SYA,SYA_train2014_seed0,2014,observed_low_rain_year,"2015,2012","observed_mid_rain_year,observed_high_rain_year",3,three_year_leave_one,observed_year_leave_one
SYA,SYA_train2015_seed0,2015,observed_mid_rain_year,"2014,2012","observed_low_rain_year,observed_high_rain_year",3,three_year_leave_one,observed_year_leave_one
SYA,SYA_train2012_seed0,2012,observed_high_rain_year,"2014,2015","observed_low_rain_year,observed_mid_rain_year",3,three_year_leave_one,observed_year_leave_one
LCA,LCA_train2010_seed0,2010,observed_low_rain_year,"2011,2008,2009","observed_mid_rain_year,observed_intermediate_rain_year_3,observed_high_rain_year",4,four_year_leave_one,observed_year_leave_one
LCA,LCA_train2011_seed0,2011,observed_mid_rain_year,"2010,2008,2009","observed_low_rain_year,observed_intermediate_rain_year_3,observed_high_rain_year",4,four_year_leave_one,observed_year_leave_one
LCA,LCA_train2008_seed0,2008,observed_intermediate_rain_year_3,"2010,2011,2009","observed_low_rain_year,observed_mid_rain_year,observed_high_rain_year",4,four_year_leave_one,observed_year_leave_one
LCA,LCA_train2009_seed0,2009,observed_high_rain_year,"2010,2011,2008","observed_low_rain_year,observed_mid_rain_year,observed_intermediate_rain_year_3",4,four_year_leave_one,observed_year_leave_one
FQA,FQA_train2008_seed0,2008,observed_lower_rain_year,2010,observed_higher_rain_year,2,two_year_cross_validation,limited_two_year_cross_validation
FQA,FQA_train2010_seed0,2010,observed_higher_rain_year,2008,observed_lower_rain_year,2,two_year_cross_validation,limited_two_year_cross_validation
YCA,YCA_train2014_seed0,2014,observed_lower_rain_year,2008,observed_higher_rain_year,2,two_year_cross_validation,limited_two_year_cross_validation
YCA,YCA_train2008_seed0,2008,observed_higher_rain_year,2014,observed_lower_rain_year,2,two_year_cross_validation,limited_two_year_cross_validation
