station,policy_name,train_year,train_year_label,eval_year,eval_year_label,seed,model_path,run_status,error_message,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,mean_reward,sum_reward,daily_csv_path,figure_dir,notes,quality_gate_pass,quality_gate_reason
HLA,HLA_train2007_seed0_action_safe,2007,observed_low_rain_year,2007,observed_low_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2007_seed0_action_safe.zip,ok,,True,149,7241.763916015625,19104.1259765625,1.2373647689819336,200.0,300.0,0.0,0.0045402606061641,108.65128028236607,16189.040762072544,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/HLA/HLA_train2007_eval2007_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/HLA/HLA_train2007_seed0_action_safe/eval_2007,action_safe_eval,True,
HLA,HLA_train2007_seed0_action_safe,2007,observed_low_rain_year,2011,observed_mid_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2007_seed0_action_safe.zip,ok,,True,169,6740.853271484375,15352.10205078125,0.000240966794081,200.0,300.0,0.0,0.0537610188038391,73.32452309041024,12391.84440227933,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/HLA/HLA_train2007_eval2011_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/HLA/HLA_train2007_seed0_action_safe/eval_2011,action_safe_eval,True,
HLA,HLA_train2007_seed0_action_safe,2007,observed_low_rain_year,2009,observed_high_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2007_seed0_action_safe.zip,ok,,True,159,7392.4078369140625,14739.55078125,0.1404482424259185,200.0,300.0,0.0,0.0866144938663866,73.90937663469414,11751.590884916368,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/HLA/HLA_train2007_eval2009_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/HLA/HLA_train2007_seed0_action_safe/eval_2009,action_safe_eval,True,
HLA,HLA_train2011_seed0_action_safe,2011,observed_mid_rain_year,2011,observed_mid_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2011_seed0_action_safe.zip,ok,,True,169,6724.044799804688,15163.271484375,0.0002280273329233,200.0,300.0,0.0,0.0652148857624573,72.17000991893246,12196.731676299589,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/HLA/HLA_train2011_eval2011_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/HLA/HLA_train2011_seed0_action_safe/eval_2011,action_safe_eval,True,
HLA,HLA_train2011_seed0_action_safe,2011,observed_mid_rain_year,2007,observed_low_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2011_seed0_action_safe.zip,ok,,True,149,7235.52001953125,19048.377685546875,1.2295997142791748,200.0,300.0,0.0,0.0129566096619471,108.19324966778294,16120.794200499658,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/HLA/HLA_train2011_eval2007_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/HLA/HLA_train2011_seed0_action_safe/eval_2007,action_safe_eval,True,
HLA,HLA_train2011_seed0_action_safe,2011,observed_mid_rain_year,2009,observed_high_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2011_seed0_action_safe.zip,ok,,True,159,7408.4228515625,14666.0302734375,0.1355756819248199,200.0,300.0,0.0,0.0943960369383014,73.4324611313416,11675.761319883311,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/HLA/HLA_train2011_eval2009_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/HLA/HLA_train2011_seed0_action_safe/eval_2009,action_safe_eval,True,
HLA,HLA_train2009_seed0_action_safe,2009,observed_high_rain_year,2009,observed_high_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2009_seed0_action_safe.zip,ok,,True,159,7417.589111328125,14699.60693359375,0.1360524892807006,200.0,300.0,0.0,0.0944272594631842,73.64483457768326,11709.528697851638,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/HLA/HLA_train2009_eval2009_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/HLA/HLA_train2009_seed0_action_safe/eval_2009,action_safe_eval,True,
HLA,HLA_train2009_seed0_action_safe,2009,observed_high_rain_year,2007,observed_low_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2009_seed0_action_safe.zip,ok,,True,149,7245.116577148437,19118.96850585937,1.2416181564331057,200.0,300.0,0.0,0.0092496923952294,108.70565748153544,16197.142964748782,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/HLA/HLA_train2009_eval2007_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/HLA/HLA_train2009_seed0_action_safe/eval_2007,action_safe_eval,True,
HLA,HLA_train2009_seed0_action_safe,2009,observed_high_rain_year,2011,observed_mid_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2009_seed0_action_safe.zip,ok,,True,169,6735.79345703125,15268.853759765623,0.0002397460921201,200.0,300.0,0.0,0.054091559711998,72.83709908843889,12309.469745946171,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/HLA/HLA_train2009_eval2011_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/HLA/HLA_train2009_seed0_action_safe/eval_2011,action_safe_eval,True,
SYA,SYA_train2014_seed0_action_safe,2014,observed_low_rain_year,2014,observed_low_rain_year,0,Leave_One_experiments/ppo_action_safe_site_training/models/SYA/SYA_train2014_seed0_action_safe.zip,ok,,True,144,10806.151123046877,18997.59155273437,1.3802703619003296,200.0,300.0,0.0,0.0003978994985421,112.04748826485118,16134.83831013857,Leave_One_experiments/ppo_action_safe_site_training/daily_outputs/SYA/SYA_train2014_eval2014_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_site_training/figures/SYA/SYA_train2014_seed0_action_safe/eval_2014,action_safe_eval,True,
