station,rank,policy_name,train_year,train_year_type,validation_years,mean_yield,std_yield,mean_reward,std_reward,mean_irrigation,mean_n_fertilizer,stability_score,model_path
HLA,1,HLA_train2011_seed0_action_safe,2011,observed_mid_rain_year,"2007,2009",7321.971435546875,122.26076501565548,90.81285539956227,24.579589293509276,200.0,300.0,1.0,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2011_seed0_action_safe.zip
HLA,2,HLA_train2009_seed0_action_safe,2009,observed_high_rain_year,"2007,2011",6990.455017089844,360.1458320499534,90.77137828498716,25.362900871144223,200.0,300.0,-0.7052618614886629,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2009_seed0_action_safe.zip
HLA,3,HLA_train2007_seed0_action_safe,2007,observed_low_rain_year,"2009,2011",7066.630554199219,460.7186515283861,73.61694986255219,0.41355390716413404,200.0,300.0,-1.770220921594421,Leave_One_experiments/ppo_action_safe_site_training/models/HLA/HLA_train2007_seed0_action_safe.zip
LCA,1,LCA_train2010_seed0_action_safe,2010,observed_low_rain_year,"2008,2009,2011",9040.475260416666,138.00490220153566,135.2611991416684,4.094992126059023,200.0,300.0,0.0,Leave_One_experiments/ppo_action_safe_site_training/models/LCA/LCA_train2010_seed0_action_safe.zip
LCA,2,LCA_train2008_seed0_action_safe,2008,observed_intermediate_rain_year_3,"2009,2010,2011",8665.519612630209,575.7267224271259,137.28690062517785,2.0281595838488697,200.0,300.0,-0.8745794215448209,Leave_One_experiments/ppo_action_safe_site_training/models/LCA/LCA_train2008_seed0_action_safe.zip
LCA,3,LCA_train2011_seed0_action_safe,2011,observed_mid_rain_year,"2008,2009,2010",8773.994954427084,638.4989790601204,136.95148156292134,4.15122663240594,200.0,300.0,-0.8762798890804795,Leave_One_experiments/ppo_action_safe_site_training/models/LCA/LCA_train2011_seed0_action_safe.zip
LCA,4,LCA_train2009_seed0_action_safe,2009,observed_high_rain_year,"2008,2010,2011",8682.8173828125,560.3267106278929,135.99621607316348,3.487414824568244,200.0,300.0,-1.4348313294002537,Leave_One_experiments/ppo_action_safe_site_training/models/LCA/LCA_train2009_seed0_action_safe.zip
SYA,1,SYA_train2012_seed0_action_safe,2012,observed_high_rain_year,"2014,2015",10781.322631835938,25.4884718526074,109.40731370988303,3.3726970610849345,200.0,300.0,1.0,Leave_One_experiments/ppo_action_safe_site_training/models/SYA/SYA_train2012_seed0_action_safe.zip
SYA,2,SYA_train2015_seed0_action_safe,2015,observed_mid_rain_year,"2012,2014",10025.232238769531,1139.8087433792978,101.02609916967157,16.44947118238776,200.0,300.0,-1.7356064692103483,Leave_One_experiments/ppo_action_safe_site_training/models/SYA/SYA_train2015_seed0_action_safe.zip
SYA,3,SYA_train2014_seed0_action_safe,2014,observed_low_rain_year,"2012,2015",10002.674865722656,1099.7802157050485,98.44540784412706,12.675920999195961,200.0,300.0,-1.9640780763869552,Leave_One_experiments/ppo_action_safe_site_training/models/SYA/SYA_train2014_seed0_action_safe.zip
