station,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,daily_csv_path,notes,finetune_method,train_year,seed,model_path,bc_action_deviation_mean,bc_action_deviation_max,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450,yield_loss_vs_00609_bc_two_stage,n_diff_vs_00609_bc_two_stage,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline
HLA,2011,ok,True,169,5971.6778564453125,0.0,132.74999856948853,0.0,0.14038989706152288,26.529278922080998,Leave_One_experiments/prior_replay_debug/daily_outputs/HLA/HLA_FT0_BC_two_stage_replay_fixed_eval2011_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2011,0,,,,,,0.0,-1.430511474609375e-06,0.13150241606444069,0.8525000015894572
HLA,2007,ok,True,149,6252.432861328125,0.0,132.74999856948853,0.0,0.10618150134214618,29.336828970909117,Leave_One_experiments/prior_replay_debug/daily_outputs/HLA/HLA_FT0_BC_two_stage_replay_fixed_eval2007_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2011,0,,,,,,0.0,-1.430511474609375e-06,0.09067050093436307,0.8525000015894572
HLA,2009,ok,True,159,7116.7626953125,0.0,132.74999856948853,0.0,0.2013745309796723,37.98012731075288,Leave_One_experiments/prior_replay_debug/daily_outputs/HLA/HLA_FT0_BC_two_stage_replay_fixed_eval2009_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2011,0,,,,,,0.0,-1.430511474609375e-06,-0.03503426589739866,0.8525000015894572
SYA,2012,ok,True,135,8687.786254882812,0.0,138.49999904632568,0.0,0.05952452730249475,52.25286278724671,Leave_One_experiments/prior_replay_debug/daily_outputs/SYA/SYA_FT0_BC_two_stage_replay_fixed_eval2012_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2012,0,,,,,,0.0,-9.5367431640625e-07,-0.2635178175210032,0.8461111121707492
SYA,2014,ok,True,144,8756.624145507812,0.0,138.49999904632568,0.04553212494485908,0.09265689282781547,52.94124169349671,Leave_One_experiments/prior_replay_debug/daily_outputs/SYA/SYA_FT0_BC_two_stage_replay_fixed_eval2014_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2012,0,,,,,,0.0,-9.5367431640625e-07,-0.2735293323964256,0.8461111121707492
SYA,2015,ok,True,143,8692.003784179688,0.0,138.49999904632568,0.0,0.08187630251571015,52.29503808021546,Leave_One_experiments/prior_replay_debug/daily_outputs/SYA/SYA_FT0_BC_two_stage_replay_fixed_eval2015_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2012,0,,,,,,0.0,-9.5367431640625e-07,-0.26413119856609085,0.8461111121707492
LCA,2010,ok,True,92,8023.3807373046875,0.0,180.50000071525574,0.0,0.0024334976206655087,35.10880719423294,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT0_BC_two_stage_replay_fixed_eval2010_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2010,0,,,,,,-1.1335554569213388e-16,7.152557373046875e-07,-0.1668892651038203,0.7994444436497159
LCA,2011,ok,True,102,9126.643676757812,0.0,180.50000071525574,0.0,0.0012096026364494773,46.14143658876419,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT0_BC_two_stage_replay_fixed_eval2011_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2010,0,,,,,,0.0,7.152557373046875e-07,-0.32734353279786615,0.7994444436497159
LCA,2008,ok,True,105,9245.808715820312,0.0,180.50000071525574,0.0,0.0012083314713977633,47.33308697938919,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT0_BC_two_stage_replay_fixed_eval2008_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2010,0,,,,,,0.0,7.152557373046875e-07,-0.3446744322541496,0.7994444436497159
LCA,2009,ok,True,102,9045.416259765625,0.0,180.50000071525574,0.0,0.00024068121816597733,45.329162418842316,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT0_BC_two_stage_replay_fixed_eval2009_daily.csv,pure_simday_safe_action_table_replay,FT0_BC_two_stage_replay_fixed,2010,0,,,,,,-2.0109515707273692e-16,7.152557373046875e-07,-0.3155301334312376,0.7994444436497159
HLA,2011,ok,True,165,786.7774200439453,133.96983295679092,14.29639458656311,0.0,0.40840803402842896,-62.691240924596784,Leave_One_experiments/prior_replay_debug/daily_outputs/HLA/HLA_FT2_residual_bc_prior_fixed_eval2011_daily.csv,fixed_simday_safety_constrained_eval,FT2_residual_bc_prior_fixed,2011,0,Leave_One_experiments/prior_replay_debug/models/HLA/FT2_residual_bc_prior_fixed_HLA_train2011_seed0.zip,0.013968671400944927,0.885,0.44656610985596973,0.031769765747918025,0.868248515918392,-118.45360541343689,0.8855741543951992,0.7608320621980561
HLA,2007,ok,True,149,753.9826202392578,130.34432381391525,12.877321243286133,0.0,0.38234881506670243,-60.851666015386584,Leave_One_experiments/prior_replay_debug/daily_outputs/HLA/HLA_FT2_residual_bc_prior_fixed_eval2007_daily.csv,fixed_simday_safety_constrained_eval,FT2_residual_bc_prior_fixed,2011,0,Leave_One_experiments/prior_replay_debug/models/HLA/FT2_residual_bc_prior_fixed_HLA_train2011_seed0.zip,0.015248808092576203,0.885,0.4344810793797175,0.02861626942952474,0.8794097214697482,-119.87267875671387,0.8903437024319005,0.7684513255953789
