station,cap_name,season_irrigation_cap,season_n_cap,train_year,eval_year,total_irrigation,total_n_fertilizer,irrigation_saturation_ratio,n_saturation_ratio,irrigation_at_cap,n_at_cap,num_irrigation_clipped_days,num_n_clipped_days,num_safety_trigger_days,dominant_safety_rule,notes
HLA,cap_low,100.0,150.0,2011,2011,100.0,150.0,1.0,1.0,True,True,165,169,169,amir_season_limit,at_or_near_cap
HLA,cap_low,100.0,150.0,2011,2007,100.0,150.0,1.0,1.0,True,True,145,149,149,amir_season_limit,at_or_near_cap
HLA,cap_low,100.0,150.0,2011,2009,100.0,150.0,1.0,1.0,True,True,155,159,159,amir_season_limit,at_or_near_cap
HLA,cap_mid_low,150.0,225.0,2011,2011,150.0,225.0,1.0,1.0,True,True,163,169,169,anfer_dap_range,at_or_near_cap
HLA,cap_mid_low,150.0,225.0,2011,2007,150.0,225.0,1.0,1.0,True,True,143,149,149,amir_season_limit,at_or_near_cap
HLA,cap_mid_low,150.0,225.0,2011,2009,150.0,225.0,1.0,1.0,True,True,153,159,159,amir_season_limit,at_or_near_cap
HLA,cap_current,200.0,300.0,2011,2011,200.0,300.0,1.0,1.0,True,True,161,169,169,anfer_dap_range,at_or_near_cap
HLA,cap_current,200.0,300.0,2011,2007,200.0,300.0,1.0,1.0,True,True,141,149,149,anfer_dap_range,at_or_near_cap
HLA,cap_current,200.0,300.0,2011,2009,200.0,300.0,1.0,1.0,True,True,151,159,159,anfer_dap_range,at_or_near_cap
HLA,cap_mid_high,250.0,375.0,2011,2011,250.0,375.0,1.0,1.0,True,True,160,169,169,anfer_dap_range,at_or_near_cap
HLA,cap_mid_high,250.0,375.0,2011,2007,250.0,375.0,1.0,1.0,True,True,140,149,149,amir_min_interval,at_or_near_cap
HLA,cap_mid_high,250.0,375.0,2011,2009,250.0,375.0,1.0,1.0,True,True,150,159,159,anfer_dap_range,at_or_near_cap
HLA,cap_high,300.0,450.0,2011,2011,300.0,450.0,1.0,1.0,True,True,158,169,169,anfer_dap_range,at_or_near_cap
HLA,cap_high,300.0,450.0,2011,2007,300.0,450.0,1.0,1.0,True,True,138,149,149,amir_min_interval,at_or_near_cap
HLA,cap_high,300.0,450.0,2011,2009,300.0,450.0,1.0,1.0,True,True,148,159,159,amir_min_interval,at_or_near_cap
SYA,cap_low,100.0,150.0,2012,2012,100.0,150.0,1.0,1.0,True,True,131,135,135,amir_season_limit,at_or_near_cap
SYA,cap_low,100.0,150.0,2012,2014,100.0,150.0,1.0,1.0,True,True,140,144,144,amir_season_limit,at_or_near_cap
SYA,cap_low,100.0,150.0,2012,2015,100.0,150.0,1.0,1.0,True,True,139,143,143,amir_season_limit,at_or_near_cap
SYA,cap_mid_low,150.0,225.0,2012,2012,150.0,225.0,1.0,1.0,True,True,129,135,135,amir_season_limit,at_or_near_cap
SYA,cap_mid_low,150.0,225.0,2012,2014,150.0,225.0,1.0,1.0,True,True,138,144,144,amir_season_limit,at_or_near_cap
SYA,cap_mid_low,150.0,225.0,2012,2015,150.0,225.0,1.0,1.0,True,True,137,143,143,amir_season_limit,at_or_near_cap
SYA,cap_current,200.0,300.0,2012,2012,200.0,300.0,1.0,1.0,True,True,127,135,135,amir_season_limit,at_or_near_cap
SYA,cap_current,200.0,300.0,2012,2014,200.0,300.0,1.0,1.0,True,True,136,144,144,amir_season_limit,at_or_near_cap
SYA,cap_current,200.0,300.0,2012,2015,200.0,300.0,1.0,1.0,True,True,135,143,143,amir_season_limit,at_or_near_cap
SYA,cap_mid_high,250.0,375.0,2012,2012,250.0,375.0,1.0,1.0,True,True,125,135,135,amir_min_interval,at_or_near_cap
SYA,cap_mid_high,250.0,375.0,2012,2014,250.0,375.0,1.0,1.0,True,True,134,144,144,amir_min_interval,at_or_near_cap
SYA,cap_mid_high,250.0,375.0,2012,2015,250.0,375.0,1.0,1.0,True,True,133,143,143,amir_min_interval,at_or_near_cap
SYA,cap_high,300.0,450.0,2012,2012,300.0,450.0,1.0,1.0,True,True,123,135,135,amir_min_interval,at_or_near_cap
SYA,cap_high,300.0,450.0,2012,2014,300.0,450.0,1.0,1.0,True,True,133,144,144,amir_min_interval,at_or_near_cap
SYA,cap_high,300.0,450.0,2012,2015,300.0,450.0,1.0,1.0,True,True,132,143,143,amir_min_interval,at_or_near_cap
LCA,cap_low,100.0,150.0,2010,2010,100.0,150.0,1.0,1.0,True,True,89,92,92,anfer_season_limit,at_or_near_cap
LCA,cap_low,100.0,150.0,2010,2011,100.0,150.0,1.0,1.0,True,True,99,102,102,anfer_season_limit,at_or_near_cap
LCA,cap_low,100.0,150.0,2010,2008,100.0,150.0,1.0,1.0,True,True,102,105,105,amir_season_limit,at_or_near_cap
LCA,cap_low,100.0,150.0,2010,2009,100.0,150.0,1.0,1.0,True,True,99,102,102,anfer_season_limit,at_or_near_cap
LCA,cap_mid_low,150.0,225.0,2010,2010,150.0,225.0,1.0,1.0,True,True,87,92,92,anfer_season_limit,at_or_near_cap
LCA,cap_mid_low,150.0,225.0,2010,2011,150.0,225.0,1.0,1.0,True,True,97,102,102,anfer_season_limit,at_or_near_cap
LCA,cap_mid_low,150.0,225.0,2010,2008,150.0,225.0,1.0,1.0,True,True,100,105,105,anfer_season_limit,at_or_near_cap
LCA,cap_mid_low,150.0,225.0,2010,2009,150.0,225.0,1.0,1.0,True,True,97,102,102,anfer_season_limit,at_or_near_cap
LCA,cap_current,200.0,300.0,2010,2010,200.0,300.0,1.0,1.0,True,True,85,92,92,amir_min_interval,at_or_near_cap
LCA,cap_current,200.0,300.0,2010,2011,200.0,300.0,1.0,1.0,True,True,95,102,102,anfer_season_limit,at_or_near_cap
LCA,cap_current,200.0,300.0,2010,2008,200.0,300.0,1.0,1.0,True,True,98,105,105,anfer_season_limit,at_or_near_cap
