station,cap_name,season_irrigation_cap,season_n_cap,train_year,cv_type,mean_yield,mean_reward,mean_irrigation,mean_n,mean_swfac,mean_nstres,quality_gate_pass,delta_yield_from_previous_cap,delta_reward_from_previous_cap,delta_irrigation_from_previous_cap,delta_n_from_previous_cap,yield_gain_per_100mm_irrigation,yield_gain_per_100kg_n,reward_gain_per_cap_step,limited_data_flag
FQA,cap_low,100.0,150.0,2010,limited_two_year_cross_validation,6159.089050292969,97.96503387058564,100.0,150.0,0.03773038928707435,0.00432004156566795,True,,,,,,,,True
FQA,cap_mid_low,150.0,225.0,2010,limited_two_year_cross_validation,6438.639221191406,97.79670139176196,150.0,225.0,0.0,0.00015786625090095,True,279.5501708984375,-0.16833247882368596,50.0,75.0,559.100341796875,372.73356119791663,-0.16833247882368596,True
FQA,cap_current,200.0,300.0,2010,limited_two_year_cross_validation,6449.145812988281,90.09670781961177,200.0,300.0,0.0,0.00015786625090095,True,10.506591796875,-7.699993572150191,50.0,75.0,21.01318359375,14.008789062499998,-7.699993572150191,True
FQA,cap_mid_high,250.0,375.0,2010,limited_two_year_cross_validation,6617.621765136719,84.0570487572989,250.0,375.0,0.0,0.00015786625090095,True,168.4759521484375,-6.0396590623128645,50.0,75.0,336.951904296875,224.63460286458331,-6.0396590623128645,True
FQA,cap_high,300.0,450.0,2010,limited_two_year_cross_validation,6623.522033691406,76.55700735311866,300.0,450.0,0.0,0.00015786625090095,True,5.9002685546875,-7.500041404180237,50.0,75.0,11.800537109375,7.867024739583334,-7.500041404180237,True
HLA,cap_low,100.0,150.0,2011,observed_year_leave_one,5440.727945963542,74.03536791346481,100.0,150.0,0.0,0.15328704706916776,True,,,,,,,,False
HLA,cap_mid_low,150.0,225.0,2011,observed_year_leave_one,6881.573079427083,86.72393117032964,150.0,225.0,0.0,0.1041223207969673,True,1440.845133463541,12.688563256864825,50.0,75.0,2881.690266927082,1921.1268446180547,12.688563256864825,False
HLA,cap_current,200.0,300.0,2011,observed_year_leave_one,7122.6625569661455,84.59857357268567,200.0,300.0,0.0,0.0575225107875686,True,241.0894775390625,-2.125357597643969,50.0,75.0,482.178955078125,321.45263671875,-2.125357597643969,False
HLA,cap_mid_high,250.0,375.0,2011,observed_year_leave_one,6996.842854817708,76.84349279340006,250.0,375.0,0.0,0.0037751859997365,True,-125.8197021484375,-7.755080779285606,50.0,75.0,-251.639404296875,-167.75960286458334,-7.755080779285606,False
HLA,cap_high,300.0,450.0,2011,observed_year_leave_one,6843.5740152994795,66.84092951279358,300.0,450.0,0.0,0.0007358778372187334,True,-153.26883951822856,-10.00256328060648,50.0,75.0,-306.5376790364571,-204.3584526909714,-10.00256328060648,False
LCA,cap_low,100.0,150.0,2010,observed_year_leave_one,8539.972686767578,150.90615181806092,100.0,150.0,0.0003265072484644,0.02536999838756315,True,,,,,,,,False
LCA,cap_mid_low,150.0,225.0,2010,observed_year_leave_one,8741.567687988281,144.38356508779214,150.0,225.0,0.00031475021558647503,0.00029069014150392503,True,201.59500122070312,-6.5225867302687845,50.0,75.0,403.1900024414062,268.7933349609375,-6.5225867302687845,False
LCA,cap_current,200.0,300.0,2010,observed_year_leave_one,8790.050506591797,136.04865548242756,200.0,300.0,0.000302346802058325,0.000290875675569775,True,48.482818603515625,-8.334909605364572,50.0,75.0,96.96563720703125,64.64375813802083,-8.334909605364572,False
LCA,cap_mid_high,250.0,375.0,2010,observed_year_leave_one,8791.023254394531,128.0812829390544,250.0,375.0,0.000279890251259825,0.00029081563265555,True,0.972747802734375,-7.967372543373159,50.0,75.0,1.94549560546875,1.2969970703125,-7.967372543373159,False
LCA,cap_high,300.0,450.0,2010,observed_year_leave_one,8792.158660888672,120.27857828626787,300.0,450.0,0.000237298199609525,0.00029247766472925,True,1.135406494140625,-7.802704652786531,50.0,75.0,2.27081298828125,1.5138753255208333,-7.802704652786531,False
SYA,cap_low,100.0,150.0,2012,observed_year_leave_one,8659.740804036459,104.58215123791814,100.0,150.0,0.006264962048994166,0.07833580422516433,True,,,,,,,,False
SYA,cap_mid_low,150.0,225.0,2012,observed_year_leave_one,10176.653238932291,108.64161945914867,150.0,225.0,0.0023594838049676666,0.0255773890271125,True,1516.9124348958321,4.0594682212305315,50.0,75.0,3033.8248697916642,2022.5499131944428,4.0594682212305315,False
SYA,cap_current,200.0,300.0,2012,observed_year_leave_one,10252.540079752604,102.54898509456604,200.0,300.0,0.0,0.00042957683116113334,True,75.8868408203125,-6.092634364582636,50.0,75.0,151.773681640625,101.18245442708333,-6.092634364582636,False
SYA,cap_mid_high,250.0,375.0,2012,observed_year_leave_one,9865.851643880209,88.90295736134891,250.0,375.0,0.0,0.0003890721554337,True,-386.6884358723946,-13.646027733217124,50.0,75.0,-773.3768717447892,-515.5845811631929,-13.646027733217124,False
SYA,cap_high,300.0,450.0,2012,observed_year_leave_one,9648.385213216146,78.72997298868144,300.0,450.0,0.0,0.0003890721554337,True,-217.4664306640625,-10.172984372667472,50.0,75.0,-434.93286132812494,-289.9552408854167,-10.172984372667472,False
YCA,cap_low,100.0,150.0,2008,limited_two_year_cross_validation,8054.165344238281,149.1904701300661,100.0,150.0,0.0,0.07534596153759485,True,,,,,,,,True
YCA,cap_mid_low,150.0,225.0,2008,limited_two_year_cross_validation,8669.897766113281,155.05447171444987,150.0,225.0,0.0,0.006619267482798501,True,615.732421875,5.864001584383772,50.0,75.0,1231.46484375,820.9765624999999,5.864001584383772,True
YCA,cap_current,200.0,300.0,2008,limited_two_year_cross_validation,8748.496398925781,148.7636348060629,200.0,300.0,0.0,0.00034313654050280003,True,78.5986328125,-6.290836908386979,50.0,75.0,157.197265625,104.79817708333334,-6.290836908386979,True
YCA,cap_mid_high,250.0,375.0,2008,limited_two_year_cross_validation,8748.583679199219,141.1590194461749,250.0,375.0,0.0,0.00034313654050280003,True,0.0872802734375,-7.604615359887987,50.0,75.0,0.174560546875,0.11637369791666667,-7.604615359887987,True
YCA,cap_high,300.0,450.0,2008,limited_two_year_cross_validation,8749.437866210938,134.30798474680046,300.0,450.0,0.0,0.00034313299595020003,True,0.85418701171875,-6.851034699374452,50.0,75.0,1.7083740234374998,1.138916015625,-6.851034699374452,True
