station,train_year,policy_name,run_status,episode_completed,error_message,daily_csv_path,notes,cap_name,season_irrigation_cap,season_n_cap,cv_type
HLA,2011,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_low,100.0,150.0,observed_year_leave_one
HLA,2011,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_low,100.0,150.0,observed_year_leave_one
HLA,2011,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_low,150.0,225.0,observed_year_leave_one
HLA,2011,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_low,150.0,225.0,observed_year_leave_one
HLA,2011,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_current,200.0,300.0,observed_year_leave_one
HLA,2011,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_current,200.0,300.0,observed_year_leave_one
HLA,2011,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_high,250.0,375.0,observed_year_leave_one
HLA,2011,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_high,250.0,375.0,observed_year_leave_one
HLA,2011,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_high,300.0,450.0,observed_year_leave_one
HLA,2011,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/HLA/HLA_2011_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_high,300.0,450.0,observed_year_leave_one
SYA,2012,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_low,100.0,150.0,observed_year_leave_one
SYA,2012,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_low,100.0,150.0,observed_year_leave_one
SYA,2012,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_low,150.0,225.0,observed_year_leave_one
SYA,2012,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_low,150.0,225.0,observed_year_leave_one
SYA,2012,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_current,200.0,300.0,observed_year_leave_one
SYA,2012,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_current,200.0,300.0,observed_year_leave_one
SYA,2012,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_high,250.0,375.0,observed_year_leave_one
SYA,2012,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_high,250.0,375.0,observed_year_leave_one
SYA,2012,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_high,300.0,450.0,observed_year_leave_one
SYA,2012,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/SYA/SYA_2012_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_high,300.0,450.0,observed_year_leave_one
LCA,2010,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_low,100.0,150.0,observed_year_leave_one
LCA,2010,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_low,100.0,150.0,observed_year_leave_one
LCA,2010,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_low,150.0,225.0,observed_year_leave_one
LCA,2010,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_low,150.0,225.0,observed_year_leave_one
LCA,2010,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_current,200.0,300.0,observed_year_leave_one
LCA,2010,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_current,200.0,300.0,observed_year_leave_one
LCA,2010,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_high,250.0,375.0,observed_year_leave_one
LCA,2010,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_high,250.0,375.0,observed_year_leave_one
LCA,2010,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_high,300.0,450.0,observed_year_leave_one
LCA,2010,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/LCA/LCA_2010_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_high,300.0,450.0,observed_year_leave_one
FQA,2010,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/FQA/FQA_2010_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_low,100.0,150.0,limited_two_year_cross_validation
FQA,2010,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/FQA/FQA_2010_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_low,100.0,150.0,limited_two_year_cross_validation
FQA,2010,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/FQA/FQA_2010_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_low,150.0,225.0,limited_two_year_cross_validation
FQA,2010,fixed_low_input,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/FQA/FQA_2010_fixed_low_input_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_mid_low,150.0,225.0,limited_two_year_cross_validation
FQA,2010,null_zero,ok,True,,Leave_One_experiments/season_cap_sensitivity/smoke_checks/daily_outputs/FQA/FQA_2010_null_zero_daily.csv,expanded_cap_level_smoke_summary; smoke rerun was invoked before each cap model but original summary was deduplicated by station-year-policy,cap_current,200.0,300.0,limited_two_year_cross_validation
