station,year,has_water_stress,t2_swfac_stress_days_gt_0p05,t2_max_swfac,irrigation_reduces_swfac,irrigation_increases_yield_at_same_N,max_yield_gain_from_irrigation_at_same_N,best_irrigation_treatment,irrigation_increases_profit_default,max_profit_gain_default,irrigation_increases_profit_low_water_cost,max_profit_gain_low_water_cost,irrigation_candidate,dominant_yield_driver,notes
FQA,2008,True,20.0,0.6030716598033905,True,True,708.897705078125,T5_N_medium_I_mid,False,-23.750970458984373,True,0.24902954101562713,True,nitrogen,
FQA,2010,False,0.0,0.0,False,False,65.958251953125,T5_N_medium_I_mid,False,-29.60634155273437,False,-5.606341552734371,False,nitrogen,
HLA,2007,False,0.0,0.0,False,False,-48.167724609375,T4_N_medium_I_low,False,-30.481677246093756,False,-6.481677246093756,False,nitrogen,
HLA,2009,False,0.0,0.0,False,False,-362.0269775390634,T5_N_medium_I_mid,False,-36.46442260742188,False,-12.46442260742188,False,nitrogen,
HLA,2011,False,0.0,0.0,False,False,-83.93493652343841,T4_N_medium_I_low,False,-30.839349365234376,False,-6.839349365234376,False,nitrogen,
LCA,2008,False,0.0,0.0,False,False,19.0576171875,T4_N_medium_I_low,False,-29.80942382812501,False,-5.809423828125006,False,nitrogen,
LCA,2009,False,0.0,0.0,False,False,-13.0078125,T4_N_medium_I_low,False,-30.130078124999997,False,-6.130078124999997,False,nitrogen,
LCA,2010,False,0.0,0.0358185172080993,True,False,93.1884765625,T5_N_medium_I_mid,False,-30.0,False,-6.0,False,nitrogen,
LCA,2011,False,0.0,0.0,False,False,191.378173828125,T5_N_medium_I_mid,False,-29.22047119140626,False,-5.220471191406261,False,nitrogen,
SYA,2012,False,0.0,0.0,False,False,-348.7481689453125,T4_N_medium_I_low,False,-33.48748168945312,False,-9.48748168945312,False,nitrogen,
SYA,2014,True,12.0,0.8005271404981613,True,True,922.9803466796857,T5_N_medium_I_mid,False,-25.276123046875,False,-1.276123046875,False,nitrogen,
SYA,2015,False,0.0,0.0,False,False,100.67626953124636,T5_N_medium_I_mid,False,-30.15194702148438,False,-6.151947021484375,False,nitrogen,
YCA,2008,False,0.0,0.0,False,False,-4.7186279296875,T4_N_medium_I_low,False,-30.047186279296866,False,-6.047186279296863,False,nitrogen,
YCA,2014,True,7.0,0.6808976829051971,True,True,609.9957275390625,T5_N_medium_I_mid,False,-25.32551269531251,False,-1.3255126953125114,False,nitrogen,
