station_code,station_name,year,planting_date,mature_date,harvest_date,harvest_window_start,harvest_window_end,harvest_window_days,harvest_window_rain_mm,mature_window_start,mature_window_end,mature_window_days,mature_window_rain_mm,post_mature_window_days,post_mature_window_rain_mm,rain_difference_harvest_minus_mature,rain_difference_ratio,weather_days_expected,weather_days_available,missing_weather_days,missing_rain_days,negative_rain_days,zero_rain_days,phenology_qc_flag,rain_qc_flag,observed_rain_rank,observed_rain_label,recommended_for_smoke_test,note
FQA,Fengqiu,2008,2008-06-10,2008-09-20,2008-09-20,2008-06-10,2008-09-20,103,221.8,2008-06-10,2008-09-20,103,221.8,0,0.0,0.0,0.0,103,103,0,0,0,83,pass,pass,rank_1_lower,observed_lower_rain_year,yes,measured
FQA,Fengqiu,2010,2010-06-10,2010-09-12,2010-09-26,2010-06-10,2010-09-26,109,362.3,2010-06-10,2010-09-12,95,353.4,14,8.9,8.9,0.0246,109,109,0,0,0,81,pass,pass,rank_2_higher,observed_higher_rain_year,yes,measured
HLA,Hailun,2007,2007-05-05,2007-09-24,2007-10-03,2007-05-05,2007-10-03,152,345.6,2007-05-05,2007-09-24,143,339.4,9,6.2,6.2,0.0179,152,152,0,0,0,114,pass,pass,rank_1,observed_low_rain_year,yes,measured
HLA,Hailun,2011,2011-05-05,2011-09-20,2011-09-23,2011-05-05,2011-09-23,142,479.2,2011-05-05,2011-09-20,139,479.2,3,0.0,0.0,0.0,142,142,0,0,0,93,pass,pass,rank_2,observed_mid_rain_year,yes,measured
HLA,Hailun,2009,2009-05-02,2009-09-28,2009-10-02,2009-05-02,2009-10-02,154,489.5,2009-05-02,2009-09-28,150,486.9,4,2.6,2.6,0.0053,154,154,0,0,0,101,pass,pass,rank_3,observed_high_rain_year,yes,measured
LCA,Luancheng,2010,2010-06-06,2010-09-25,2010-09-27,2010-06-06,2010-09-27,114,288.5,2010-06-06,2010-09-25,112,288.5,2,0.0,0.0,0.0,114,114,0,0,0,87,pass,pass,rank_1,observed_low_rain_year,yes,measured
LCA,Luancheng,2011,2011-06-15,2011-09-26,2011-09-27,2011-06-15,2011-09-27,105,300.9,2011-06-15,2011-09-26,104,300.9,1,0.0,0.0,0.0,105,105,0,0,0,74,pass,pass,rank_2,observed_mid_rain_year,yes,measured
LCA,Luancheng,2008,2008-06-19,2008-09-29,2008-10-02,2008-06-19,2008-10-02,106,357.1,2008-06-19,2008-09-29,103,357.1,3,0.0,0.0,0.0,106,106,0,0,0,73,pass,pass,rank_3,observed_intermediate_rain_year_3,yes,measured
LCA,Luancheng,2009,2009-06-14,2009-09-23,2009-09-23,2009-06-14,2009-09-23,102,417.1,2009-06-14,2009-09-23,102,417.1,0,0.0,0.0,0.0,102,102,0,0,0,73,pass,pass,rank_4,observed_high_rain_year,yes,measured
SYA,Shenyang,2014,2014-04-21,2014-09-09,2014-09-15,2014-04-21,2014-09-15,148,331.8,2014-04-21,2014-09-09,142,329.8,6,2.0,2.0,0.006,148,148,0,0,0,122,pass,pass,rank_1,observed_low_rain_year,yes,measured;duplicate_exact_rows_removed
SYA,Shenyang,2015,2015-04-18,2015-09-16,2015-09-22,2015-04-18,2015-09-22,158,424.1,2015-04-18,2015-09-16,152,420.1,6,4.0,4.0,0.0094,158,158,0,0,0,122,pass,pass,rank_2,observed_mid_rain_year,yes,measured;duplicate_exact_rows_removed
SYA,Shenyang,2012,2012-04-28,2012-09-06,2012-09-06,2012-04-28,2012-09-06,132,649.4,2012-04-28,2012-09-06,132,649.4,0,0.0,0.0,0.0,132,132,0,0,0,91,pass,pass,rank_3,observed_high_rain_year,yes,measured;duplicate_conflict_selected_latest_harvest
YCA,Yucheng,2014,2014-06-17,2014-09-28,2014-10-02,2014-06-17,2014-10-02,108,211.7,2014-06-17,2014-09-28,104,210.7,4,1.0,1.0,0.0047,108,108,0,0,0,88,pass,pass,rank_1_lower,observed_lower_rain_year,yes,measured
YCA,Yucheng,2008,2008-06-18,2008-09-24,2008-09-26,2008-06-18,2008-09-26,101,346.9,2008-06-18,2008-09-24,99,345.0,2,1.9,1.9,0.0055,101,101,0,0,0,72,pass,pass,rank_2_higher,observed_higher_rain_year,yes,measured
