station_code,station_name,year,planting_date,silking_date,mature_date,harvest_date,source,note
FQA,Fengqiu,2008,2008-06-10,2008-08-07,2008-09-20,2008-09-20,experiment_record,measured
FQA,Fengqiu,2010,2010-06-10,2010-08-10,2010-09-12,2010-09-26,experiment_record,measured
HLA,Hailun,2007,2007-05-05,2007-07-26,2007-09-24,2007-10-03,experiment_record,measured
HLA,Hailun,2009,2009-05-02,2009-07-26,2009-09-28,2009-10-02,experiment_record,measured
HLA,Hailun,2011,2011-05-05,2011-07-24,2011-09-20,2011-09-23,experiment_record,measured
LCA,Luancheng,2008,2008-06-19,2008-08-04,2008-09-29,2008-10-02,experiment_record,measured
LCA,Luancheng,2009,2009-06-14,2009-08-05,2009-09-23,2009-09-23,experiment_record,measured
LCA,Luancheng,2010,2010-06-06,2010-08-06,2010-09-25,2010-09-27,experiment_record,measured
LCA,Luancheng,2011,2011-06-15,2011-08-22,2011-09-26,2011-09-27,experiment_record,measured
SYA,Shenyang,2012,2012-04-28,2012-07-20,2012-09-06,2012-09-06,experiment_record,measured;duplicate_conflict_selected_latest_harvest
SYA,Shenyang,2014,2014-04-21,2014-07-16,2014-09-09,2014-09-15,experiment_record,measured;duplicate_exact_rows_removed
SYA,Shenyang,2015,2015-04-18,2015-07-18,2015-09-16,2015-09-22,experiment_record,measured;duplicate_exact_rows_removed
YCA,Yucheng,2008,2008-06-18,2008-08-16,2008-09-24,2008-09-26,experiment_record,measured
YCA,Yucheng,2014,2014-06-17,2014-08-10,2014-09-28,2014-10-02,experiment_record,measured
