agent,episode,final_trnu,mean_trnu,max_trnu,total_anfer,total_amir,napp_anfer,napp_amir,max_grnwt,final_grnwt,max_topwt,total_reward
null,1,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,2,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,3,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,4,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,5,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,6,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,7,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,8,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,9,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,10,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,11,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,12,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,13,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,14,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,15,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,16,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,17,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,18,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,19,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,20,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,21,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,22,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,23,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,24,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,25,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,26,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,27,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,28,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,29,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,30,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
ppo,1,1.5095380134880545,1.7326732310653983,10.44006571173668,1129.5327425003052,291.02971106767654,19,27,7431.288,7431.288,0.5035,-33.8935434888117
ppo,2,1.493592280894518,1.7439935455605038,10.597016662359238,1319.788372516632,180.41540533304214,23,21,7469.618,7469.618,0.5035,462.9066613758914
ppo,3,1.5037894248962402,1.7399858548571574,10.597018897533417,946.6396510601044,237.21662610769272,17,24,7463.2886,7463.2886,0.5035,3666.2506508862134
ppo,4,1.495562307536602,1.7431889789572748,10.596998035907744,1180.1739990711212,251.1768877506256,23,20,7468.4443,7468.4443,0.5035,1178.879568243865
ppo,5,1.4949989505112171,1.7434176260717964,10.597015172243118,1031.6587388515472,232.17015713453293,22,15,7468.811,7468.811,0.5035,2858.678376628086
ppo,6,1.4715942554175854,1.76127347083381,10.590078681707382,1201.3645082712173,242.44241565465927,21,23,7457.328,7457.328,0.5035,856.0836790886242
ppo,7,1.4976846985518932,1.7362312445990309,10.58274656534195,730.2232652902603,223.98933917284012,12,23,7461.9927,7461.9927,0.5035,6571.864930759903
ppo,8,1.5004154294729233,1.739747425300638,10.50836369395256,1412.4612271785736,246.33788615465164,24,24,7460.248,7460.248,0.5035,-2039.4993508537298
ppo,9,1.488442998379469,1.7489167985087573,10.59701442718506,1205.4114937782288,291.87836050987244,24,26,7466.997,7466.997,0.5035,-435.2365821832791
ppo,10,1.49507038295269,1.7433816685041275,10.596998035907744,1217.6713168621063,202.16654986143112,20,20,7468.7637,7468.7637,0.5035,1225.733561150264
ppo,11,1.4953745529055595,1.743269695559729,10.597017407417296,1100.6087362766266,176.2615516781807,22,18,7468.575,7468.575,0.5035,3328.8658273336478
ppo,12,1.501768734306097,1.7400498477735826,10.595645010471344,1348.5431432724,236.67538166046143,22,17,7464.0283,7464.0283,0.5035,-1123.1742446753196
ppo,13,1.498648151755333,1.7375618838173832,10.57620644569397,909.2821538448334,284.53043699264526,18,18,7460.569,7460.569,0.5035,3212.471357639879
ppo,14,1.5078754164278507,1.741155345171015,10.597016662359238,1194.1482573747635,311.49146407842636,23,28,7455.896,7455.896,0.5035,-935.5097826453857
ppo,15,1.4932984486222267,1.7442244900415507,10.596565902233124,1202.801474928856,337.564217671752,27,25,7468.256,7468.256,0.5035,-570.8880927180871
ppo,16,1.5137209556996822,1.7409276781719327,10.597015172243118,893.3589592576027,342.2172024846077,19,24,7443.664,7443.664,0.5035,1860.115266527282
ppo,17,1.4999394305050373,1.743474161766482,10.597016662359238,1123.495453596115,332.204906642437,20,27,7463.965,7463.965,0.5035,-340.2048301731702
ppo,18,1.4936880208551884,1.743964171201153,10.597016662359238,1177.1409630775452,187.2803419828415,29,18,7469.532,7469.532,0.5035,2025.1713698694948
ppo,19,1.495614182204008,1.7431812448780233,10.59701442718506,1007.0867478847504,315.6712010502815,21,25,7468.42,7468.42,0.506504,2033.1336623674724
ppo,20,1.4945835806429386,1.7507635292733064,10.592198371887209,980.324250459671,234.60413664579391,18,23,7458.9595,7458.9595,0.5035,3814.0937146468787
ppo,21,1.5054678544402122,1.7386350857977593,10.452892631292343,1044.968968629837,203.51673662662506,26,20,7458.493,7458.493,0.5035,3391.938185762556
ppo,22,1.5007365494966507,1.7444513607285792,10.597020387649536,1167.7652269601822,279.73398715257645,19,24,7458.0312,7458.0312,0.5035,366.13200864405326
ppo,23,1.513290498405695,1.721626792756228,10.551568120718002,999.1090208292007,410.65676510334015,23,26,7443.3374,7443.3374,0.5035,-567.7678537438624
ppo,24,1.4956587925553322,1.7346661375763657,10.571765154600143,1047.0184743404388,292.6756501197815,26,26,7458.7817,7458.7817,0.5035,1643.384941375116
ppo,25,1.4967570081353188,1.739804986094737,10.589513182640076,992.6018357276917,290.4933452606201,17,25,7465.4727,7465.4727,0.5035,2285.8866433956427
ppo,26,1.4916261658072472,1.7454090184608675,10.59347167611122,1383.4431767463684,187.21332922577858,22,23,7466.294,7466.294,0.504089,-374.58990286744665
