site,agent,dap,swfac,turfac,nstres,trnu,topwt,grnwt,xlai,ep,totir,reward,raw_action_anfer,raw_action_amir,real_action_anfer,real_action_amir
FQ,null,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,2.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,3.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,4.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,5.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,6.0,0.0,,0.012191057205200195,,32.00000047683716,0.0,0.0031338033732026815,0.0,0.0,32.00000047683716,-1.0,-1.0,0.0,0.0
FQ,null,7.0,0.0,,0.0068503618240356445,,32.00000047683716,0.0,0.005746840499341488,0.01477699913084507,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,8.0,0.0,,0.0,,32.00000047683716,0.0,0.008509366773068905,0.013088975101709366,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,9.0,0.0,,0.0,,32.00000047683716,0.0,0.010613033547997475,0.004297204315662384,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,10.0,0.0,,0.0,,32.00000047683716,0.0,0.012747876346111298,0.006667491048574448,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,11.0,0.0,,0.0,,32.00000047683716,0.0,0.01524366531521082,0.018682481721043587,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,12.0,0.0,,0.0,,32.00000047683716,0.0,0.017974069342017174,0.02351589873433113,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,13.0,0.0,,0.0,,32.00000047683716,0.0,0.021772149950265884,0.08631505072116852,0.0,0.0,-1.0,-1.0,0.0,0.0
FQ,null,14.0,0.0,,0.0,,25.125632286071777,0.0,0.03738296777009964,0.10360516607761383,0.0,-6.874368190765381,-1.0,-1.0,0.0,0.0
FQ,null,15.0,0.0,,0.0,,31.240439414978027,0.0,0.05624033510684967,0.176377534866333,0.0,6.11480712890625,-1.0,-1.0,0.0,0.0
FQ,null,16.0,0.0,,0.0,,38.52898120880127,0.0,0.07674745470285416,0.14991281926631927,0.0,7.288541793823242,-1.0,-1.0,0.0,0.0
FQ,null,17.0,0.0,,0.0,,45.93924045562744,0.0,0.09620234370231628,0.26007312536239624,0.0,7.6021550595760345,-1.0,-1.0,0.0,0.0
FQ,null,18.0,0.0,,0.0,,55.15679359436035,0.0,0.11904332041740417,0.47857972979545593,0.0,9.680481813848019,-1.0,-1.0,0.0,0.0
FQ,null,19.0,0.0,,0.0,,65.03962993621826,0.0,0.1422702521085739,0.45678627490997314,0.0,10.694624111056328,-1.0,-1.0,0.0,0.0
FQ,null,20.0,0.0,,0.0,,75.13302326202393,0.0,0.16499440371990204,0.3685287833213806,0.0,10.523587204515934,-1.0,-1.0,0.0,0.0
FQ,null,21.0,0.0,,0.0,,84.05744552612305,0.0,0.18433840572834015,0.8220135569572449,0.0,9.672492817044258,-1.0,-1.0,0.0,0.0
FQ,null,22.0,0.0,,0.0,,96.06947898864746,0.0,0.20958581566810608,0.7890233993530273,0.0,12.63045359402895,-1.0,-1.0,0.0,0.0
FQ,null,23.0,0.0,,0.0,,111.30499839782715,0.0,0.23929250240325928,0.8401519060134888,0.0,16.001737788319588,-1.0,-1.0,0.0,0.0
FQ,null,24.0,0.0,,0.0,,127.80523300170898,0.0,0.2726189196109772,0.6568437218666077,0.0,17.13621884584427,-1.0,-1.0,0.0,0.0
FQ,null,25.0,0.0,,0.0,,143.04909706115723,0.0,0.30240398645401,0.24899223446846008,0.0,15.607685185968876,-1.0,-1.0,0.0,0.0
FQ,null,26.0,0.0,,0.0,,162.45952606201172,0.0,0.33905982971191406,0.726279616355896,0.0,20.39600819349289,-1.0,-1.0,0.0,0.0
FQ,null,27.0,0.0,,0.0,,186.5419578552246,0.0,0.3827809989452362,1.0611159801483154,0.0,25.24369701743126,-1.0,-1.0,0.0,0.0
FQ,null,28.0,0.0,,0.0,,210.77566146850586,0.0,0.4250818192958832,0.35272127389907837,0.0,24.719453044235706,-1.0,-1.0,0.0,0.0
FQ,null,29.0,0.0,,0.0,,240.6450080871582,0.0,0.4750934839248657,1.6885579824447632,0.0,31.840312629938126,-1.0,-1.0,0.0,0.0
FQ,null,30.0,0.0,,0.0,,276.91749572753906,0.0,0.5330578088760376,1.688612699508667,0.0,37.795492708683014,-1.0,-1.0,0.0,0.0
FQ,null,31.0,0.0,,0.0,,320.26405334472656,0.0,0.5988777279853821,1.625974178314209,0.0,44.92277130484581,-1.0,-1.0,0.0,0.0
FQ,null,32.0,0.0,,0.0,,363.1289291381836,0.0,0.6608815789222717,1.6625274419784546,0.0,44.63846996426582,-1.0,-1.0,0.0,0.0
FQ,null,33.0,0.0,,0.0,,396.2298583984375,0.0,0.7068981528282166,0.43853431940078735,0.0,33.602453768253326,-1.0,-1.0,0.0,0.0
FQ,null,34.0,0.0,,0.0,,422.3744201660156,0.0,0.7420819401741028,0.34869205951690674,0.0,26.85184620320797,-1.0,-1.0,0.0,0.0
FQ,null,35.0,0.0,,0.0,,470.9595489501953,0.0,0.8049570918083191,2.040801525115967,0.0,50.02160623669624,-1.0,-1.0,0.0,0.0
FQ,null,36.0,0.0,,0.0,,525.9550094604492,0.0,0.872864842414856,2.472102165222168,0.0,55.440862998366356,-1.0,-1.0,0.0,0.0
