site,agent,dap,swfac,nstres,trnu,topwt,grnwt,xlai,ep,totir,reward,raw_action_anfer,raw_action_amir,real_action_anfer,real_action_amir
HL,expert,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-82.4999988079071,-1.0,0.6499999761581421,164.9999976158142,0.0
HL,expert,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,14.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,18.0,0.0,0.012191057205200195,,20.0,0.0,0.0018952720565721393,0.0,0.0,20.0,-1.0,-1.0,0.0,0.0
HL,expert,19.0,0.0,0.014269590377807617,,20.0,0.0,0.0034287653397768736,0.005312860943377018,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,20.0,0.0,0.011742651462554932,,20.0,0.0,0.003977622836828232,0.002516270149499178,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,21.0,0.0,0.009718894958496094,,20.0,0.0,0.004436115734279156,0.004036616999655962,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,22.0,0.0,0.00810396671295166,,20.0,0.0,0.004812444094568491,0.008164800703525543,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,23.0,0.0,0.0058013200759887695,,20.0,0.0,0.005443028174340725,0.015502016991376877,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,24.0,0.0,0.003354012966156006,,20.0,0.0,0.006458197720348835,0.011364048346877098,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,25.0,0.0,0.0,,20.0,0.0,0.008298701606690884,0.02241658791899681,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,26.0,0.0,0.0,,20.0,0.0,0.01076676044613123,0.037621114403009415,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,27.0,0.0,0.0,,20.0,0.0,0.020880969241261482,0.053405627608299255,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,28.0,0.0,0.0,,20.0,0.0,0.03072182461619377,0.035002514719963074,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,29.0,0.0,0.0,,21.607377529144287,0.0,0.038638465106487274,0.03414549306035042,0.0,1.607377529144287,-1.0,-1.0,0.0,0.0
HL,expert,30.0,0.0,0.0,,27.089247703552246,0.0,0.05259239301085472,0.1073269471526146,0.0,5.538640338927507,-1.0,-1.0,0.0,0.0
HL,expert,31.0,0.0,0.0,,31.788346767425537,0.0,0.06382094323635101,0.21557168662548065,0.0,5.071162874810398,-1.0,-1.0,0.0,0.0
HL,expert,32.0,0.0,0.0,,35.90868949890137,0.0,0.07325782626867294,0.214735746383667,0.0,4.408505507744849,-1.0,-1.0,0.0,0.0
HL,expert,33.0,0.0,0.0,,42.981462478637695,0.0,0.08877265453338623,0.2515506446361542,0.0,7.310446035116911,-1.0,-1.0,0.0,0.0
HL,expert,34.0,0.0,0.0,,51.67051315307617,0.0,0.10691928118467331,0.41141241788864136,0.0,9.186689807102084,-1.0,-1.0,0.0,0.0
HL,expert,35.0,0.0,0.0,,64.28703784942627,0.0,0.13193638622760773,0.5229982733726501,0.0,13.142327023670077,-1.0,-1.0,0.0,0.0
HL,expert,36.0,0.0,0.0,,79.00531768798828,0.0,0.1596347689628601,0.5809624195098877,0.0,15.404544109478593,-1.0,-1.0,0.0,0.0
HL,expert,37.0,0.0,0.0,,99.23483848571777,0.0,0.19577746093273163,0.6430966258049011,0.0,20.939468601718545,-1.0,-1.0,0.0,0.0
HL,expert,38.0,0.0,0.0,,129.04415130615234,0.0,0.2460695207118988,0.8939604759216309,0.0,30.762031599879265,-1.0,-1.0,0.0,0.0
HL,expert,39.0,0.0,0.0,,153.06123733520508,0.0,0.30405738949775696,1.1526634693145752,0.0,25.662217065691948,-1.0,-1.0,0.0,0.0
HL,expert,40.0,0.0,0.004894852638244629,,176.57526016235352,0.0,0.343037486076355,1.3608636856079102,0.0,25.22383291274309,-1.0,-1.0,0.0,0.0
