site,agent,dap,swfac,turfac,nstres,trnu,topwt,grnwt,xlai,ep,totir,reward,raw_action_anfer,raw_action_amir,real_action_anfer,real_action_amir
SY,null,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,2.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,3.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,4.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,5.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,6.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,7.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,8.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,9.0,0.0,,0.012191057205200195,,17.600001096725464,0.0,0.001840010634623468,0.0,0.0,17.600001096725464,-1.0,-1.0,0.0,0.0
SY,null,10.0,0.0,,0.013154864311218262,,17.600001096725464,0.0,0.003758328268304467,0.0079073216766119,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,11.0,0.0,,0.007649421691894531,,17.600001096725464,0.0,0.005793990101665258,0.01387738436460495,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,12.0,0.0,,0.002820611000061035,,17.600001096725464,0.0,0.007712912745773792,0.025779016315937042,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,13.0,0.0,,0.0,,17.600001096725464,0.0,0.009734620340168476,0.03613346070051193,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,14.0,0.0,,0.0,,17.600001096725464,0.0,0.011802926659584045,0.04643835127353668,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,15.0,0.0,,0.0,,17.600001096725464,0.0,0.019901856780052185,0.045528240501880646,0.0,0.0,-1.0,-1.0,0.0,0.0
SY,null,16.0,0.0,,0.0,,17.600001096725464,0.0,0.027440203353762627,0.09174090623855591,0.0,0.047103665858722055,-1.0,-1.0,0.0,0.0
SY,null,17.0,0.0,,0.0,,20.47097682952881,0.0,0.03778509050607681,0.12284503132104874,0.0,2.900137949202847,-1.0,-1.0,0.0,0.0
SY,null,18.0,0.0,,0.0,,25.59863567352295,0.0,0.05049481242895126,0.11344653367996216,0.0,5.244675345461157,-1.0,-1.0,0.0,0.0
SY,null,19.0,0.0,,0.0,,29.593513011932373,0.0,0.05983450636267662,0.08819837123155594,0.0,4.221437906169037,-1.0,-1.0,0.0,0.0
SY,null,20.0,0.0,,0.0,,34.090209007263184,0.0,0.06991127878427505,0.2462722510099411,0.0,4.8261236526693025,-1.0,-1.0,0.0,0.0
SY,null,21.0,0.0,,0.0,,38.177340030670166,0.0,0.07873141020536423,0.26158958673477173,0.0,4.371509671787049,-1.0,-1.0,0.0,0.0
SY,null,22.0,0.0,,0.0,,41.356825828552246,0.0,0.08539564162492752,0.19204361736774445,0.0,3.3806146631769995,-1.0,-1.0,0.0,0.0
SY,null,23.0,0.0,,0.0,,44.30114269256592,0.0,0.09144305437803268,0.11569851636886597,0.0,3.0675110946102677,-1.0,-1.0,0.0,0.0
SY,null,24.0,0.0,,0.0,,46.73574447631836,0.0,0.09634190797805786,0.10963223874568939,0.0,2.577392637099263,-1.0,-1.0,0.0,0.0
SY,null,25.0,0.0,,0.0,,50.555877685546875,0.0,0.10391474515199661,0.43787187337875366,0.0,4.234082182528192,-1.0,-1.0,0.0,0.0
SY,null,26.0,0.0,,0.0,,58.134493827819824,0.0,0.11858974397182465,0.3264927864074707,0.0,7.742097664442529,-1.0,-1.0,0.0,0.0
SY,null,27.0,0.0,,0.0,,65.0120735168457,0.0,0.14049330353736877,0.1997385025024414,0.0,7.152815487613424,-1.0,-1.0,0.0,0.0
SY,null,28.0,0.0,,0.0034890174865722656,,80.03028869628906,0.0,0.16952265799045563,0.48431575298309326,0.0,15.515178106320725,-1.0,-1.0,0.0,0.0
SY,null,29.0,0.0,,0.0,,98.52137565612793,0.0,0.203561931848526,0.6620668768882751,0.0,19.306337232676427,-1.0,-1.0,0.0,0.0
SY,null,30.0,0.0,,0.0,,111.64987564086914,0.0,0.22681938111782074,0.20202814042568207,0.0,13.668506816558011,-1.0,-1.0,0.0,0.0
SY,null,31.0,0.0,,0.0,,127.5422477722168,0.0,0.25415316224098206,0.9513961672782898,0.0,17.10242296397796,-1.0,-1.0,0.0,0.0
SY,null,32.0,0.0,,0.0,,146.89302444458008,0.0,0.28640860319137573,0.5094184875488281,0.0,20.59437372995717,-1.0,-1.0,0.0,0.0
SY,null,33.0,0.0,,0.0,,166.3629150390625,0.0,0.3179003596305847,0.7544287443161011,0.0,20.539698474944892,-1.0,-1.0,0.0,0.0
SY,null,34.0,0.0,,0.0,,174.9224853515625,0.0,0.33132681250572205,0.14660120010375977,0.0,8.62174347876286,-1.0,-1.0,0.0,0.0
SY,null,35.0,0.0,,0.0,,186.89882278442383,0.0,0.34994930028915405,0.43884724378585815,0.0,12.633383396352876,-1.0,-1.0,0.0,0.0
SY,null,36.0,0.0,,0.0,,198.09804916381836,0.0,0.36705395579338074,0.7005553841590881,0.0,11.960601554922086,-1.0,-1.0,0.0,0.0
SY,null,37.0,0.0,,0.0,,210.37843704223633,0.0,0.3855104446411133,0.8068723678588867,0.0,13.016268798267427,-1.0,-1.0,0.0,0.0
SY,null,38.0,0.0,,0.0,,229.5305061340332,0.0,0.41139280796051025,1.065009355545044,0.0,20.174168601433784,-1.0,-1.0,0.0,0.0
SY,null,39.0,0.0,,0.0,,256.8334197998047,0.0,0.45283910632133484,1.323371410369873,0.0,28.714963064400703,-1.0,-1.0,0.0,0.0
SY,null,40.0,0.0,,0.0,,294.2920684814453,0.0,0.5076781511306763,1.7732654809951782,0.0,39.315372790406485,-1.0,-1.0,0.0,0.0
SY,null,41.0,0.0,,0.0,,337.42530822753906,0.0,0.5682309865951538,1.6553157567977905,0.0,44.89807959745883,-1.0,-1.0,0.0,0.0
SY,null,42.0,0.0,,0.0,,383.8801956176758,0.0,0.6307042837142944,1.336393117904663,0.0,48.10897711524291,-1.0,-1.0,0.0,0.0
SY,null,43.0,0.0,,0.0,,442.79327392578125,0.0,0.706357479095459,1.3306715488433838,0.0,60.58073017635458,-1.0,-1.0,0.0,0.0
