site,site_name,agent,trace_source,PRCP,ETCP,PRCP_minus_ETCP,mode,template,weather,soil,PDATE,n_days,swfac_stress_days_gt_0.05,swfac_stress_days_gt_0.10,max_swfac,mean_swfac,turfac_stress_days_gt_0.05,turfac_stress_days_gt_0.10,max_turfac,mean_turfac,nstres_days_gt_0.05,max_nstres,mean_nstres,mean_trnu,final_trnu,max_grnwt,total_anfer,total_amir,final_totir,template_irrigation_mm,total_reward,note
HL,Hailun,null,all_water_stress_diagnostics,345.59999999999997,496.0,-150.40000000000003,all,my_data\UFGA8201-HL.jinja2,my_data\CNHL0701.WTH,my_data\HL.SOL,07125,145,0.0,0.0,0.0,0.0,0.0,0.0,,,114.0,0.798799991607666,0.39707172410241487,,,438.5631942749024,0.0,0.0,0.0,30.0,865.6204082526529,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment"
HL,Hailun,expert,all_water_stress_diagnostics,345.59999999999997,496.0,-150.40000000000003,all,my_data\UFGA8201-HL.jinja2,my_data\CNHL0701.WTH,my_data\HL.SOL,07125,145,0.0,0.0,0.0,0.0,0.0,0.0,,,73.0,0.5951496660709381,0.10927903343891274,,,6414.691162109375,164.9999976158142,29.999998211860657,29.99999618530273,30.0,16056.179687324038,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment"
SY,Shenyang,null,all_water_stress_diagnostics,659.3,428.0,231.29999999999995,all,my_data\UFGA8201-SY.jinja2,my_data\CNSY1201.WTH,my_data\SY.SOL,12133,135,0.0,0.0,0.0,0.0,0.0,0.0,,,89.0,0.3814278841018677,0.18470946859430384,,,3394.8553466796875,0.0,0.0,0.0,0.0,6129.224048416752,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment"
SY,SY,expert,missing_or_stalled,,,,all,my_data\UFGA8201-SY.jinja2,my_data\CNSY1201.WTH,my_data\SY.SOL,,0,,,,,,,,,,,,,,,,,,,,all-mode diagnostic stalled or trace missing for this site/agent
LC,LC,null,missing_or_stalled,,,,all,my_data\UFGA8201-LC.jinja2,my_data\CNLC0801.WTH,my_data\MY_SOIL.SOL,,0,,,,,,,,,,,,,,,,,,,,all-mode diagnostic stalled or trace missing for this site/agent
LC,LC,expert,missing_or_stalled,,,,all,my_data\UFGA8201-LC.jinja2,my_data\CNLC0801.WTH,my_data\MY_SOIL.SOL,,0,,,,,,,,,,,,,,,,,,,,all-mode diagnostic stalled or trace missing for this site/agent
FQ,Fengqiu,null,all_water_stress_diagnostics,413.6,344.0,69.60000000000002,all,my_data\UFGA8201-FQ.jinja2,my_data\CNFQ0701.WTH,my_data\FQ.SOL,07162,102,0.0,0.0,0.0,0.0,0.0,0.0,,,64.0,0.4164245128631592,0.18686954531015135,,,2723.052062988281,0.0,0.0,0.0,75.0,5130.545580293983,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment"
FQ,Fengqiu,expert,all_water_stress_diagnostics,413.6,344.0,69.60000000000002,all,my_data\UFGA8201-FQ.jinja2,my_data\CNFQ0701.WTH,my_data\FQ.SOL,07162,102,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0121910572052001,0.00018668057871799708,,,7134.925537109375,164.9999976158142,29.999998211860657,29.99999618530273,75.0,12735.224064532667,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment"
YC,YC,null,all_water_stress_diagnostics,357.1,350.0,7.100000000000023,all,my_data\UFGA8201-YC.jinja2,my_data\CNYC0801.WTH,my_data\YC.SOL,08170,106,0.0,0.0,0.0,0.0,0.0,0.0,,,88.0,0.5364187359809875,0.3025480188288779,,,1451.1973571777344,0.0,0.0,0.0,120.0,4451.681784141192,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment"
YC,YC,expert,all_water_stress_diagnostics,357.1,350.0,7.100000000000023,all,my_data\UFGA8201-YC.jinja2,my_data\CNYC0801.WTH,my_data\YC.SOL,08170,106,0.0,0.0,0.0,0.0,0.0,0.0,,,13.0,0.1494317650794983,0.016310537761112423,,,7581.77734375,164.9999976158142,29.999998211860657,29.99999618530273,120.0,17409.676223374532,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment"
