site,agent,episodes,reward_sum,max_grnwt,mean_swfac,mean_nstres,water_estimate,water_source,raw_action_amir_sum,final_totir,days
FQ,expert,1,11826.3037109375,6949.098510742188,0.0,0.004545648308361274,50.0,real_action_amir,,50.0,102.0
FQ,null,1,12883.515625,7050.474243164063,0.0,0.0038470392133675333,0.0,real_action_amir,,0.0,102.0
HL,expert,1000,376.9966393709183,420.2329254150391,,,,missing,-147.80000007152557,,149.0
HL,null,1000,857.9643249511719,438.5631942749024,,,,missing,-149.0,,149.0
HL,ppo,1000,-1193.6145681479572,363.6448207473755,,,,missing,-143.71994928365945,,149.0
LC,expert,1,4560.5072021484375,3436.810913085937,0.0018030121774956732,0.2211150645029427,100.0,real_action_amir,,100.0,101.0
LC,null,1,6292.3199462890625,3569.083251953125,0.0,0.22352160262589407,0.0,real_action_amir,,0.0,101.0
SY,expert,1,4016.904296875,3157.0477294921875,0.0,0.17448695059175845,100.0,real_action_amir,,100.0,135.0
SY,null,1,6060.1123046875,3394.8553466796875,0.0,0.18470946859430384,0.0,real_action_amir,,0.0,135.0
YC,expert,1000,16118.97705078125,7186.9927978515625,0.0,0.05917455509023844,50.0,real_action_amir,,50.0,106.0
YC,null,1000,17321.87744140625,7409.7015380859375,0.0,0.04371612251929515,0.0,real_action_amir,,0.0,106.0
YC,ppo,1000,17002.019924084245,7353.299426879883,0.0,0.04764196370963779,14.149093253910541,real_action_amir,,36.61586744785309,106.0
