site,agent,dap,swfac,turfac,nstres,trnu,topwt,grnwt,xlai,ep,totir,reward,raw_action_anfer,raw_action_amir,real_action_anfer,real_action_amir
HL,expert,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,2.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,-82.4999988079071,-1.0,0.6499999761581421,164.9999976158142,0.0
HL,expert,3.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,4.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,5.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,6.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,7.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,8.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,9.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,10.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,11.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,12.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,13.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,14.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,15.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,16.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,17.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,18.0,0.0,,0.012191057205200195,,20.0,0.0,0.0018952720565721393,0.0,0.0,20.0,-1.0,-1.0,0.0,0.0
HL,expert,19.0,0.0,,0.014269590377807617,,20.0,0.0,0.0034287653397768736,0.005345486104488373,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,20.0,0.0,,0.011742651462554932,,20.0,0.0,0.00456613302230835,0.002488797763362527,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,21.0,0.0,,0.009718894958496094,,20.0,0.0,0.005518647842109203,0.00463602039963007,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,22.0,0.0,,0.00810396671295166,,20.0,0.0,0.0063033211044967175,0.010152101516723633,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,23.0,0.0,,0.0058013200759887695,,20.0,0.0,0.007487309165298939,0.020291011780500412,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,24.0,0.0,,0.003354012966156006,,20.0,0.0,0.008806790225207806,0.015618247911334038,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,25.0,0.0,,0.0,,20.0,0.0,0.010845215059816837,0.030536223202943802,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,26.0,0.0,,0.0,,20.0,0.0,0.013568599708378315,0.04879244416952133,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,27.0,0.0,,0.0,,20.0,0.0,0.024683577939867973,0.0672173947095871,0.0,0.0,-1.0,-1.0,0.0,0.0
HL,expert,28.0,0.0,,0.0,,20.16063690185547,0.0,0.03475654125213623,0.041305266320705414,0.0,0.16063690185546875,-1.0,-1.0,0.0,0.0
HL,expert,29.0,0.0,,0.0,,23.371996879577637,0.0,0.04326467961072922,0.038421232253313065,0.0,3.211359977722168,-1.0,-1.0,0.0,0.0
HL,expert,30.0,0.0,,0.0,,29.038615226745605,0.0,0.057333458214998245,0.11985861510038376,0.0,5.827592762652785,-1.0,-1.0,0.0,0.0
HL,expert,31.0,0.0,,0.0,,33.845086097717285,0.0,0.06859055906534195,0.23456455767154694,0.0,5.198965081945062,-1.0,-1.0,0.0,0.0
HL,expert,32.0,0.0,,0.0,,38.0352520942688,0.0,0.07802368700504303,0.22940847277641296,0.0,4.489061147905886,-1.0,-1.0,0.0,0.0
HL,expert,33.0,0.0,,0.0,,45.20979881286621,0.0,0.09353289008140564,0.26555174589157104,0.0,7.420932319946587,-1.0,-1.0,0.0,0.0
HL,expert,34.0,0.0,,0.0,,54.00260925292969,0.0,0.11167343705892563,0.432012677192688,0.0,9.30619097314775,-1.0,-1.0,0.0,0.0
HL,expert,35.0,0.0,,0.0,,66.74284934997559,0.0,0.13668307662010193,0.5452039837837219,0.0,13.278679307550192,-1.0,-1.0,0.0,0.0
HL,expert,36.0,0.0,,0.0,,81.57941818237305,0.0,0.16437403857707977,0.6006817817687988,0.0,15.534171955659986,-1.0,-1.0,0.0,0.0
HL,expert,37.0,0.0,,0.0,,101.94242477416992,0.0,0.20050811767578125,0.656014621257782,0.0,21.082256492227316,-1.0,-1.0,0.0,0.0
HL,expert,38.0,0.0,,0.0,,131.91009521484375,0.0,0.2507897615432739,0.9091486930847168,0.0,30.930998288094997,-1.0,-1.0,0.0,0.0
HL,expert,39.0,0.0,,0.0,,155.84234237670898,0.0,0.30876845121383667,1.1697224378585815,0.0,25.593394339084625,-1.0,-1.0,0.0,0.0
