site,site_name,agent,trace_source,PDATE,n_days,PRCP,ETCP,PRCP_minus_ETCP,swfac_stress_days_gt_0.05,turfac_stress_days_gt_0.05,min_swfac,mean_nstres,max_grnwt,irrigation_mm,final_totir,template_irrigation_mm,note
HL,Hailun,null,new_irrigation_env_original_inputs,07125,145,345.59999999999997,496.0,-150.40000000000003,,,,,438.5631942749024,0.0,0.0,30.0,swfac not exposed by maize irrigation state; turfac not exposed by maize irrigation state; nstres not exposed by maize irrigation state
HL,Hailun,expert,new_irrigation_env_original_inputs,07125,145,345.59999999999997,496.0,-150.40000000000003,,,,,420.2329254150391,29.999998211860657,29.99999618530273,30.0,swfac not exposed by maize irrigation state; turfac not exposed by maize irrigation state; nstres not exposed by maize irrigation state
SY,Shenyang,null,new_irrigation_env_original_inputs,12133,135,659.3,428.0,231.29999999999995,,,,,3394.8553466796875,0.0,0.0,0.0,swfac not exposed by maize irrigation state; turfac not exposed by maize irrigation state; nstres not exposed by maize irrigation state
SY,Shenyang,expert,new_irrigation_env_original_inputs,12133,135,659.3,428.0,231.29999999999995,,,,,3316.334228515625,29.999998211860657,29.99999618530273,0.0,swfac not exposed by maize irrigation state; turfac not exposed by maize irrigation state; nstres not exposed by maize irrigation state
LC,Luancheng,null,fallback_existing_old_irrigation_trace,08171,101,345.2,330.0,15.199999999999989,0.0,,0.0,0.22352160262589407,3569.083251953125,0.0,0.0,60.0,turfac not exposed by maize irrigation state; LC used existing trace because original LC env call stalled
LC,Luancheng,expert,fallback_existing_old_irrigation_trace,08171,101,345.2,330.0,15.199999999999989,1.0,,0.0,0.2211150645029427,3436.810913085937,100.0,100.0,60.0,turfac not exposed by maize irrigation state; LC used existing trace because original LC env call stalled
FQ,Fengqiu,null,new_irrigation_env_original_inputs,07162,102,413.6,344.0,69.60000000000002,,,,,7050.474243164063,0.0,0.0,75.0,swfac not exposed by maize irrigation state; turfac not exposed by maize irrigation state; nstres not exposed by maize irrigation state
FQ,Fengqiu,expert,new_irrigation_env_original_inputs,07162,102,413.6,344.0,69.60000000000002,,,,,7028.9288330078125,29.999998211860657,29.99999618530273,75.0,swfac not exposed by maize irrigation state; turfac not exposed by maize irrigation state; nstres not exposed by maize irrigation state
YC,YC,null,new_irrigation_env_original_inputs,08170,106,357.1,350.0,7.100000000000023,,,,,7409.7015380859375,0.0,0.0,120.0,swfac not exposed by maize irrigation state; turfac not exposed by maize irrigation state; nstres not exposed by maize irrigation state
YC,YC,expert,new_irrigation_env_original_inputs,08170,106,357.1,350.0,7.100000000000023,,,,,7409.939575195312,29.999998211860657,29.99999618530273,120.0,swfac not exposed by maize irrigation state; turfac not exposed by maize irrigation state; nstres not exposed by maize irrigation state
