station,year,row_count,SRAD,TMAX,TMIN,RAIN,inserted_missing_dates
FQA,2000,366,0,0,0,0,0
FQA,2001,365,0,0,0,0,0
FQA,2002,365,0,0,0,0,0
FQA,2003,365,0,0,0,0,0
FQA,2004,366,0,0,0,0,0
FQA,2005,365,0,0,0,0,0
FQA,2006,365,0,0,0,0,0
FQA,2007,365,0,0,0,0,0
FQA,2008,366,0,0,0,0,0
FQA,2009,365,0,0,0,0,0
FQA,2010,365,0,0,0,0,0
FQA,2011,365,0,0,0,0,0
FQA,2012,366,0,0,0,0,0
FQA,2013,365,0,0,0,0,0
FQA,2014,365,0,0,0,0,0
FQA,2015,365,0,0,0,0,0
FQA,2016,366,0,0,0,0,0
FQA,2017,365,0,0,0,0,0
FQA,2018,365,0,0,0,0,0
FQA,2019,365,0,0,0,0,0
FQA,2020,366,0,0,0,0,0
FQA,2021,365,0,0,0,0,0
FQA,2022,365,0,0,0,0,0
FQA,2023,365,0,0,0,0,0
HLA,2000,366,0,0,0,0,0
HLA,2001,365,0,0,0,0,0
HLA,2002,365,0,0,0,0,0
HLA,2003,365,0,0,0,0,0
HLA,2004,366,0,0,0,0,0
HLA,2005,365,0,0,0,0,0
HLA,2006,365,0,0,0,0,0
HLA,2007,365,0,0,0,0,0
HLA,2008,366,0,0,0,0,0
HLA,2009,365,0,0,0,0,0
HLA,2010,365,0,0,0,0,0
HLA,2011,365,0,0,0,0,0
HLA,2012,366,0,0,0,0,0
HLA,2013,365,0,0,0,0,0
HLA,2014,365,0,0,0,0,0
HLA,2015,365,0,0,0,0,0
HLA,2016,366,0,0,0,0,0
HLA,2017,365,0,0,0,0,0
HLA,2018,365,0,0,0,0,0
HLA,2019,365,0,0,0,0,0
HLA,2020,366,0,0,0,0,0
HLA,2021,365,0,0,0,0,0
HLA,2022,365,0,0,0,0,0
HLA,2023,365,0,0,0,0,0
LCA,2000,366,0,0,0,0,0
LCA,2001,365,0,0,0,0,0
LCA,2002,365,0,0,0,0,0
LCA,2003,365,0,0,0,0,0
LCA,2004,366,0,0,0,0,0
LCA,2005,365,0,0,0,0,0
LCA,2006,365,0,0,0,0,0
LCA,2007,365,0,0,0,0,0
LCA,2008,366,0,0,0,0,0
LCA,2009,365,0,0,0,0,0
LCA,2010,365,0,0,0,0,0
LCA,2011,365,0,0,0,0,0
LCA,2012,366,0,0,0,0,0
LCA,2013,365,0,0,0,0,0
LCA,2014,365,0,0,0,0,0
LCA,2015,365,0,0,0,0,0
LCA,2016,366,0,0,0,0,0
LCA,2017,365,0,0,0,0,0
LCA,2018,365,0,0,0,0,0
LCA,2019,365,0,0,0,0,0
LCA,2020,366,0,0,0,0,0
LCA,2021,365,0,0,0,0,0
LCA,2022,365,0,0,0,0,0
LCA,2023,365,0,0,0,0,0
SYA,2001,365,0,0,0,0,0
SYA,2002,365,0,0,0,0,0
SYA,2003,365,0,0,0,0,0
SYA,2004,366,0,0,0,0,0
SYA,2005,365,0,0,0,0,0
SYA,2006,365,0,0,0,0,0
SYA,2007,365,0,0,0,0,0
SYA,2008,366,0,0,0,0,0
SYA,2009,365,0,0,0,0,0
SYA,2010,365,0,0,0,0,0
SYA,2011,365,0,0,0,0,0
SYA,2012,366,0,0,0,0,0
SYA,2013,365,0,0,0,0,0
SYA,2014,365,0,0,0,0,0
SYA,2015,365,0,0,0,0,0
SYA,2016,366,0,0,0,0,0
SYA,2017,365,0,0,0,0,0
SYA,2018,365,0,0,0,0,0
SYA,2019,365,0,0,0,0,0
SYA,2020,366,0,0,0,0,0
SYA,2021,365,0,0,0,0,0
SYA,2022,365,0,0,0,0,0
SYA,2023,365,0,0,0,0,0
YCA,2000,366,0,0,0,0,0
YCA,2001,365,0,0,0,0,0
YCA,2002,365,0,0,0,0,0
YCA,2003,365,0,0,0,0,0
YCA,2004,366,0,0,0,0,0
YCA,2005,365,0,0,0,0,0
YCA,2006,365,0,0,0,0,0
YCA,2007,365,0,0,0,0,0
YCA,2008,366,0,0,0,0,0
YCA,2009,365,0,0,0,0,0
YCA,2010,365,0,0,0,0,0
YCA,2011,365,0,0,0,0,0
YCA,2012,366,0,0,0,0,0
YCA,2013,365,0,0,0,0,0
YCA,2014,365,0,0,0,0,0
YCA,2015,365,0,0,0,0,0
YCA,2016,366,0,0,0,0,0
YCA,2017,365,0,0,0,0,0
YCA,2018,365,0,0,0,0,0
YCA,2019,365,0,0,0,0,0
YCA,2020,366,0,0,0,0,0
YCA,2021,365,0,0,0,0,0
YCA,2022,365,0,0,0,0,0
YCA,2023,365,0,0,0,0,0
