station,year,row_count,SRAD,TMAX,TMIN,RAIN,inserted_missing_dates
FQA,2000,366,258,1,1,0,0
FQA,2001,365,27,18,18,0,0
FQA,2002,365,305,29,29,0,0
FQA,2003,365,346,0,0,0,0
FQA,2004,366,79,79,79,0,0
FQA,2005,365,2,0,0,0,0
FQA,2006,365,9,9,9,0,0
FQA,2007,365,0,0,0,0,0
FQA,2008,366,0,0,0,0,0
FQA,2009,365,0,0,0,0,0
FQA,2010,365,2,0,0,0,0
FQA,2011,365,40,38,38,0,0
FQA,2012,366,9,7,7,0,0
FQA,2013,365,31,29,29,0,0
FQA,2014,365,9,5,5,0,0
FQA,2015,365,41,37,37,0,0
FQA,2016,366,0,0,0,0,0
FQA,2017,365,0,0,0,0,0
FQA,2018,365,33,30,30,0,0
FQA,2019,365,2,0,0,0,0
FQA,2020,366,31,0,0,0,0
FQA,2021,365,4,0,0,0,0
FQA,2022,365,8,0,0,0,0
FQA,2023,365,10,1,1,0,0
HLA,2000,366,366,97,97,0,0
HLA,2001,365,273,10,10,0,0
HLA,2002,365,0,0,0,0,0
HLA,2003,365,2,0,0,0,0
HLA,2004,366,3,22,22,0,0
HLA,2005,365,1,0,0,0,0
HLA,2006,365,6,4,4,0,0
HLA,2007,365,3,1,1,0,0
HLA,2008,366,0,0,0,0,0
HLA,2009,365,5,1,1,0,0
HLA,2010,365,0,0,0,0,0
HLA,2011,365,0,0,0,0,0
HLA,2012,366,1,1,1,0,0
HLA,2013,365,10,2,2,0,0
HLA,2014,365,6,0,0,0,0
HLA,2015,365,4,1,1,0,0
HLA,2016,366,0,0,0,0,0
HLA,2017,365,0,0,0,0,0
HLA,2018,365,2,0,0,0,0
HLA,2019,365,1,0,0,0,0
HLA,2020,366,0,0,0,0,0
HLA,2021,365,0,0,0,0,0
HLA,2022,365,0,0,0,0,0
HLA,2023,365,46,1,1,0,0
LCA,2000,366,37,35,35,0,0
LCA,2001,365,80,47,47,0,0
LCA,2002,365,86,86,86,0,0
LCA,2003,365,66,53,53,0,0
LCA,2004,366,0,0,0,0,0
LCA,2005,365,24,88,88,0,0
LCA,2006,365,1,0,0,0,0
LCA,2007,365,56,41,41,0,0
LCA,2008,366,12,9,9,0,0
LCA,2009,365,9,1,1,0,0
LCA,2010,365,20,19,19,0,0
LCA,2011,365,14,14,14,0,0
LCA,2012,366,0,0,0,0,0
LCA,2013,365,3,0,0,0,0
LCA,2014,365,9,7,7,0,0
LCA,2015,365,39,2,2,0,0
LCA,2016,366,0,0,0,0,0
LCA,2017,365,2,2,2,0,0
LCA,2018,365,1,0,0,0,0
LCA,2019,365,1,0,0,0,0
LCA,2020,366,8,73,74,0,0
LCA,2021,365,2,112,112,0,0
LCA,2022,365,0,0,0,0,0
LCA,2023,365,2,0,0,0,0
SYA,2001,365,25,120,120,0,0
SYA,2002,365,111,12,12,0,0
SYA,2003,365,125,8,8,0,0
SYA,2004,366,123,123,123,0,0
SYA,2005,365,144,140,140,0,0
SYA,2006,365,0,0,0,0,0
SYA,2007,365,13,10,10,0,0
SYA,2008,366,3,1,1,0,0
SYA,2009,365,0,0,0,0,0
SYA,2010,365,0,0,0,0,0
SYA,2011,365,0,0,0,0,0
SYA,2012,366,0,0,0,0,0
SYA,2013,365,0,0,0,0,0
SYA,2014,365,1,0,0,0,0
SYA,2015,365,0,0,0,0,0
SYA,2016,366,0,0,0,0,0
SYA,2017,365,6,4,4,0,0
SYA,2018,365,0,0,0,0,0
SYA,2019,365,0,0,0,0,0
SYA,2020,366,0,0,0,0,0
SYA,2021,365,33,32,32,0,0
SYA,2022,365,0,0,0,0,0
SYA,2023,365,0,0,0,0,0
YCA,2000,366,40,8,8,0,0
YCA,2001,365,23,13,13,0,0
YCA,2002,365,12,0,0,0,0
YCA,2003,365,0,0,0,0,0
YCA,2004,366,41,47,47,0,0
YCA,2005,365,59,8,8,0,0
YCA,2006,365,23,17,17,0,0
YCA,2007,365,3,0,0,0,0
YCA,2008,366,36,26,26,0,0
YCA,2009,365,17,14,14,0,0
YCA,2010,365,4,3,3,0,0
YCA,2011,365,42,39,39,0,0
YCA,2012,366,1,1,1,0,0
YCA,2013,365,2,0,0,0,0
YCA,2014,365,0,0,0,0,0
YCA,2015,365,0,0,0,0,0
YCA,2016,366,0,0,0,0,0
YCA,2017,365,0,0,0,0,0
YCA,2018,365,1,0,0,0,0
YCA,2019,365,2,0,0,0,0
YCA,2020,366,1,0,0,0,0
YCA,2021,365,0,0,0,0,0
YCA,2022,365,0,0,0,0,0
YCA,2023,365,14,3,3,0,0
