station,variable,missing_before_fill,filled_by_station_month_mean,filled_by_station_annual_mean,missing_after_fill,station_annual_mean_used
HLA,SRAD,729,729,0,0,13.247314053015142
HLA,TMAX,140,140,0,0,8.300219531077017
HLA,TMIN,140,140,0,0,-2.5768797955388503
HLA,RAIN,0,0,0,0,1.3392767510837325
SYA,SRAD,584,584,0,0,14.333441211939228
SYA,TMAX,450,450,0,0,14.94332755625701
SYA,TMIN,450,450,0,0,3.3356574737746207
SYA,RAIN,0,0,0,0,1.586642857142857
LCA,SRAD,472,472,0,0,13.771800721683764
LCA,TMAX,589,589,0,0,18.772292744358495
LCA,TMIN,590,590,0,0,6.72163926919788
LCA,RAIN,0,0,0,0,0.9716290212183435
YCA,SRAD,321,321,0,0,13.813023806119721
YCA,TMAX,179,179,0,0,19.661603283836026
YCA,TMIN,179,179,0,0,8.461998620007313
YCA,RAIN,0,0,0,0,1.3528747433264887
FQA,SRAD,1246,1246,0,0,13.645479646446283
FQA,TMAX,283,283,0,0,20.355805498696512
FQA,TMIN,283,283,0,0,8.994980855078827
FQA,RAIN,0,0,0,0,1.5951289071412273
