name,extension,size_bytes,last_modified
CNFQ0701.WTH,.WTH,12214,2026-03-29T17:03:35.630479336
CNHL0701.WTH,.WTH,12214,2026-03-22T19:50:48.015231371
CNLC0801.WTH,.WTH,12247,2026-03-18T15:03:52.157384634
CNSY1201.WTH,.WTH,12247,2026-04-02T08:37:36.870100737
CNYC0801.jinja2,.jinja2,2041,2026-04-07T15:15:34.369473934
CNYC0801.WTH,.WTH,12247,2026-03-22T19:02:24.621920586
D32.xls,.xls,16418816,2026-03-19T06:25:30
FQ.SOL,.SOL,5237,2026-06-01T05:35:14.937322140
HL.SOL,.SOL,7765,2026-05-24T14:44:10.834219694
HLLCYCFQ降雨数据.xls,.xls,7702528,2026-03-18T08:10:35.042662621
LC.SOL,.SOL,5347,2026-06-01T07:09:52.309115648
MY_SOIL.SOL,.SOL,171295,2026-05-10T13:45:46.999802828
MZCER048.CUL,.CUL,16848,2026-04-03T06:46:02.285619259
SY.SOL,.SOL,5547,2026-06-01T05:35:26.094124317
SYCS人工大气观测降雨蒸发能见度日值.xls,.xls,3769856,2026-04-01T09:31:44.612799168
SYCS自动气象站观测逐日太阳辐射总量及其累计值.xls.xls,.xls,4779520,2026-04-02T07:31:50
SYCS自动气象站观测逐日气温.xls,.xls,2788864,2026-04-02T07:31:52
T2.xls,.xls,9736192,2026-03-19T06:25:24
UFGA8201 - 原版.jinja2,.jinja2,5308,2023-05-05T22:45:00
UFGA8201 - 封丘.jinja2,.jinja2,2457,2026-04-24T11:06:36.155125141
UFGA8201 - 栾城.jinja2,.jinja2,2482,2026-04-23T06:17:01.917950630
UFGA8201 - 沈阳.jinja2,.jinja2,2494,2026-04-23T15:38:26.301906586
UFGA8201 - 禹城.jinja2,.jinja2,2769,2026-04-24T11:04:40.536175250
UFGA8201-FQ.jinja2,.jinja2,2457,2026-06-01T07:15:17.420426130
UFGA8201-HL.jinja2,.jinja2,2456,2026-05-15T07:11:53.520949364
UFGA8201-LC.jinja2,.jinja2,2482,2026-06-01T07:38:56.184790373
UFGA8201-SY.jinja2,.jinja2,2494,2026-06-01T05:35:18.186168909
UFGA8201-YC.jinja2,.jinja2,2587,2026-06-01T07:40:19.752201080
UFGA8201.WTH,.WTH,18085,2023-01-10T21:25:18
YC.SOL,.SOL,5336,2026-06-01T05:35:24.262280226
